,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
0,ZywOo,"['Vitality', 'aAa']",1108,29209,+6778,1.38,1.27,"<div class=""summaryPlayerAge"">22 years</div>",24631,41.1%,17853,1.38,87.8,3.7,1108,29209,0.84,0.12,0.61,0.09,0.12,0.61,75.1%,1.44,87.8,0.84,1.32
1,s1mple,['Natus Vincere'],1649,43626,+9404,1.34,1.24,"<div class=""summaryPlayerAge"">25 years</div>",37131,41.2%,27727,1.34,85.9,2.4,1649,43626,0.85,0.10,0.64,0.08,0.11,0.64,74.1%,1.35,85.9,0.85,1.24
2,sh1ro,"['Gambit Youngsters', 'Gambit']",933,24798,+5922,1.45,1.23,"<div class=""summaryPlayerAge"">21 years</div>",19146,27.9%,13224,1.45,78.7,3.9,933,24798,0.77,0.11,0.53,0.08,0.11,0.53,76.3%,1.21,78.7,0.77,1.26
3,deko,['1WIN'],497,13510,+2890,1.37,1.21,"<div class=""summaryPlayerAge"">21 years</div>",10801,36.7%,7911,1.37,80.5,3.8,497,13510,0.80,0.10,0.59,0.08,0.11,0.59,74.3%,1.21,80.5,0.80,1.23
4,Kaze,"['Rare Atom', 'ViCi', 'Flash', 'MVP.karnal']",913,23865,+4427,1.31,1.19,"<div class=""summaryPlayerAge"">28 years</div>",18529,30.4%,14102,1.31,79.5,2.9,913,23865,0.78,0.11,0.59,0.08,0.10,0.59,73.7%,1.22,79.5,0.78,1.19
5,saffee,"['FURIA', 'paiN']",446,11796,+2060,1.29,1.18,"<div class=""summaryPlayerAge"">28 years</div>",9240,30.6%,7180,1.29,79.2,3.0,446,11796,0.78,0.10,0.61,0.08,0.09,0.61,73.2%,1.22,79.2,0.78,1.20
6,degster,"['OG', 'Espada', 'Spirit']",778,20777,+3717,1.30,1.18,"<div class=""summaryPlayerAge"">21 years</div>",16181,34.8%,12464,1.30,78.5,2.9,778,20777,0.78,0.09,0.60,0.07,0.10,0.60,72.7%,1.23,78.5,0.78,1.20
7,smooya,"['BIG', 'Movistar Riders', 'Epsilon']",921,24424,+4049,1.27,1.18,"<div class=""summaryPlayerAge"">23 years</div>",19253,27.9%,15204,1.27,79.7,2.6,921,24424,0.79,0.10,0.62,0.08,0.10,0.62,71.7%,1.27,79.7,0.79,1.20
8,XANTARES,"['Eternal Fire', 'Space Soldiers', 'BIG']",1906,50376,+6820,1.20,1.17,"<div class=""summaryPlayerAge"">27 years</div>",40861,53.2%,34041,1.20,89.3,4.9,1906,50376,0.81,0.15,0.68,0.10,0.10,0.68,72.3%,1.35,89.3,0.81,1.17
9,sterling,"['AVANT', 'Looking For Org', 'Dire Wolves']",908,23267,+4109,1.30,1.17,"<div class=""summaryPlayerAge"">24 years</div>",17982,31.7%,13873,1.30,77.9,4.0,908,23267,0.77,0.10,0.60,0.08,0.10,0.60,73.2%,1.18,77.9,0.77,1.19
10,DANK1NG,"['TYLOO', 'EHOME']",439,11613,+1850,1.25,1.16,"<div class=""summaryPlayerAge"">23 years</div>",9167,39.2%,7317,1.25,80.1,2.3,439,11613,0.79,0.10,0.63,0.09,0.10,0.63,73.3%,1.25,80.1,0.79,1.21
11,SENSEi,"['IKLA', 'CR4ZY', 'Project X', 'Akuma', 'Iron Branch']",617,16502,+3165,1.35,1.16,"<div class=""summaryPlayerAge"">24 years</div>",12254,31.0%,9089,1.35,75.9,3.1,617,16502,0.74,0.09,0.55,0.07,0.09,0.55,73.8%,1.17,75.9,0.74,1.20
12,device,"['Astralis', 'TSM']",1835,47799,+7433,1.25,1.16,"<div class=""summaryPlayerAge"">27 years</div>",37204,35.0%,29771,1.25,80.4,4.3,1835,47799,0.78,0.13,0.62,0.07,0.08,0.62,71.3%,1.28,80.4,0.78,1.16
13,blameF,"['Astralis', 'Complexity', 'Heroic', 'Epsilon']",979,26288,+4204,1.26,1.16,"<div class=""summaryPlayerAge"">25 years</div>",20182,39.2%,15978,1.26,85.8,7.1,979,26288,0.77,0.14,0.61,0.07,0.09,0.61,74.0%,1.23,85.8,0.77,1.23
14,NiKo,"['G2', 'FaZe', 'MOUZ']",1709,45395,+5826,1.19,1.15,"<div class=""summaryPlayerAge"">26 years</div>",36082,50.5%,30256,1.19,86.0,4.5,1709,45395,0.79,0.13,0.67,0.08,0.10,0.67,71.2%,1.31,86.0,0.79,1.15
15,KSCERATO,['FURIA'],972,25303,+4045,1.28,1.15,"<div class=""summaryPlayerAge"">23 years</div>",18704,49.2%,14659,1.28,79.5,5.4,972,25303,0.74,0.13,0.58,0.08,0.10,0.58,75.0%,1.10,79.5,0.74,1.19
16,torzsi,"['MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander']",542,14454,+2092,1.24,1.15,"<div class=""summaryPlayerAge"">20 years</div>",10967,29.1%,8875,1.24,76.6,2.5,542,14454,0.76,0.09,0.61,0.08,0.10,0.61,71.1%,1.18,76.6,0.76,1.16
17,BnTeT,"['TYLOO', 'Gen.G', 'EXTREMUM']",1079,28098,+3839,1.22,1.14,"<div class=""summaryPlayerAge"">27 years</div>",21403,39.7%,17564,1.22,82.7,5.1,1079,28098,0.76,0.14,0.63,0.10,0.12,0.63,74.4%,1.14,82.7,0.76,1.14
18,Woro2k,"['Monte', 'MAD Lions', 'ex-MAD Lions']",459,12398,+1733,1.22,1.14,"<div class=""summaryPlayerAge"">21 years</div>",9598,34.0%,7865,1.22,79.1,3.1,459,12398,0.77,0.10,0.63,0.08,0.10,0.63,70.7%,1.21,79.1,0.77,1.17
19,Benkai,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,+2046,1.20,1.14,"<div class=""summaryPlayerAge"">26 years</div>",12164,46.7%,10118,1.20,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.10,0.65,71.7%,1.25,85.4,0.78,1.14
20,coldzera,"['SK', 'FaZe', 'Luminosity', 'MIBR']",1495,39107,+5655,1.23,1.14,"<div class=""summaryPlayerAge"">28 years</div>",29783,49.4%,24128,1.23,78.8,2.5,1495,39107,0.76,0.11,0.62,0.08,0.10,0.62,73.2%,1.08,78.8,0.76,1.14
21,Sico,"['Grayhound', 'Renegades', 'ORDER', 'Kings']",964,24408,+3768,1.26,1.13,"<div class=""summaryPlayerAge"">28 years</div>",18189,35.9%,14421,1.26,78.6,6.8,964,24408,0.75,0.14,0.59,0.09,0.10,0.59,73.9%,1.16,78.6,0.75,1.13
22,Texta,"['Chiefs', 'Athletico', 'Dark Sided']",626,15749,+1748,1.16,1.13,"<div class=""summaryPlayerAge"">21 years</div>",12537,40.3%,10789,1.16,87.1,3.6,626,15749,0.80,0.18,0.69,0.11,0.13,0.69,73.3%,1.29,87.1,0.80,1.21
23,Jame,"['AVANGAR', 'Virtus.pro']",1258,33337,+5623,1.31,1.13,"<div class=""summaryPlayerAge"">24 years</div>",23826,25.1%,18203,1.31,72.7,4.0,1258,33337,0.71,0.09,0.55,0.07,0.09,0.55,73.9%,1.11,72.7,0.71,1.17
24,XigN,"['NKT', 'MVP PK', 'MVP Project']",787,20441,+2463,1.18,1.13,"<div class=""summaryPlayerAge"">25 years</div>",15794,52.5%,13331,1.18,81.6,2.8,787,20441,0.77,0.12,0.65,0.09,0.10,0.65,73.0%,1.20,81.6,0.77,1.13
25,XELLOW,['Nexus'],1188,31370,+3648,1.18,1.13,"<div class=""summaryPlayerAge"">22 years</div>",24300,39.8%,20652,1.18,79.7,1.8,1188,31370,0.77,0.10,0.66,0.09,0.10,0.66,70.7%,1.25,79.7,0.77,1.13
26,mhL,"['Endpoint', 'AGO', 'MOUZ NXT']",600,16112,+2108,1.21,1.13,"<div class=""summaryPlayerAge"">20 years</div>",12315,28.7%,10207,1.21,80.1,3.7,600,16112,0.76,0.12,0.63,0.09,0.11,0.63,71.0%,1.22,80.1,0.76,1.17
27,oskar,"['SINNERS', 'MOUZ', 'HellRaisers']",1538,40608,+5096,1.20,1.13,"<div class=""summaryPlayerAge"">31 years</div>",30949,30.5%,25853,1.20,78.2,3.4,1538,40608,0.76,0.10,0.64,0.07,0.08,0.64,70.4%,1.21,78.2,0.76,1.13
28,forsyy,"['SINNERS', 'Enterprise']",461,12453,+1740,1.23,1.13,"<div class=""summaryPlayerAge"">21 years</div>",9197,29.3%,7457,1.23,76.7,4.2,461,12453,0.74,0.10,0.60,0.08,0.09,0.60,72.5%,1.14,76.7,0.74,1.16
29,El1an,"['Winstrike', 'Entropiq', 'EPG']",1340,35763,+4874,1.22,1.13,"<div class=""summaryPlayerAge"">23 years</div>",26798,27.0%,21924,1.22,78.0,2.8,1340,35763,0.75,0.11,0.61,0.07,0.08,0.61,70.5%,1.21,78.0,0.75,1.17
30,frozen,"['MOUZ', 'eXtatus']",1285,33626,+3868,1.18,1.12,"<div class=""summaryPlayerAge"">20 years</div>",25436,54.2%,21568,1.18,82.8,5.2,1285,33626,0.76,0.13,0.64,0.09,0.11,0.64,73.0%,1.18,82.8,0.76,1.12
31,sk0R,"['IHC', 'D13', 'NKT']",426,11495,+1245,1.16,1.12,"<div class=""summaryPlayerAge"">20 years</div>",8964,48.6%,7719,1.16,82.4,4.7,426,11495,0.78,0.12,0.67,0.09,0.10,0.67,71.2%,1.20,82.4,0.78,1.16
32,mantuu,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",696,18646,+2374,1.21,1.12,"<div class=""summaryPlayerAge"">25 years</div>",13904,35.7%,11530,1.21,76.7,3.4,696,18646,0.75,0.11,0.62,0.09,0.12,0.62,72.8%,1.16,76.7,0.75,1.16
33,Freeman,"['TYLOO', 'ViCi']",807,20646,+2361,1.18,1.12,"<div class=""summaryPlayerAge"">23 years</div>",15666,48.8%,13305,1.18,80.5,3.0,807,20646,0.76,0.13,0.64,0.09,0.11,0.64,72.8%,1.15,80.5,0.76,1.16
34,huNter-,"['G2', 'Valiance', 'Binary Dragons']",1546,40816,+4404,1.16,1.12,"<div class=""summaryPlayerAge"">27 years</div>",31502,49.3%,27098,1.16,84.5,5.5,1546,40816,0.77,0.14,0.66,0.10,0.11,0.66,72.1%,1.23,84.5,0.77,1.12
35,kennyS,"['G2', 'Envy', 'Titan']",1939,51363,+6490,1.20,1.12,"<div class=""summaryPlayerAge"">27 years</div>",38738,31.2%,32248,1.20,74.4,3.4,1939,51363,0.75,0.11,0.63,0.09,0.11,0.63,70.7%,1.11,74.4,0.75,1.12
36,liTTle,"['forZe', 'RuSh3D', 'Spartak', 'Enso']",458,12159,+1550,1.20,1.12,"<div class=""summaryPlayerAge"">34 years</div>",9317,27.7%,7766,1.20,78.5,2.6,457,12154,0.77,0.10,0.64,0.07,0.09,0.64,71.4%,1.22,78.5,0.77,1.12
37,INS,"['Grayhound', 'Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",1013,25672,+2821,1.17,1.12,"<div class=""summaryPlayerAge"">24 years</div>",19482,42.6%,16661,1.17,85.7,8.6,1013,25672,0.76,0.17,0.65,0.10,0.09,0.65,72.2%,1.25,85.7,0.76,1.19
38,yuurih,['FURIA'],1064,27772,+3260,1.18,1.12,"<div class=""summaryPlayerAge"">23 years</div>",20918,44.2%,17658,1.18,84.1,5.0,1064,27772,0.75,0.15,0.64,0.09,0.11,0.64,73.2%,1.15,84.1,0.75,1.18
39,woxic,"['HellRaisers', 'Eternal Fire', 'MOUZ']",1257,33092,+4139,1.20,1.12,"<div class=""summaryPlayerAge"">24 years</div>",24364,32.1%,20225,1.20,76.4,2.5,1257,33092,0.74,0.11,0.61,0.08,0.10,0.61,71.5%,1.16,76.4,0.74,1.12
40,kNgV-,"['O PLANO', 'MIBR', 'INTZ']",897,23513,+2612,1.17,1.12,"<div class=""summaryPlayerAge"">30 years</div>",17946,32.3%,15334,1.17,78.3,2.1,897,23513,0.76,0.10,0.65,0.08,0.09,0.65,70.3%,1.22,78.3,0.76,1.12
41,Jamppi,"['SJ', 'ENCE']",503,13449,+1408,1.16,1.12,"<div class=""summaryPlayerAge"">21 years</div>",10302,31.8%,8894,1.16,78.2,2.8,503,13449,0.77,0.10,0.66,0.08,0.09,0.66,69.8%,1.28,78.2,0.77,1.15
42,ropz,"['FaZe', 'MOUZ']",1220,32318,+4027,1.20,1.12,"<div class=""summaryPlayerAge"">23 years</div>",23861,51.7%,19834,1.20,78.4,2.5,1220,32318,0.74,0.11,0.61,0.07,0.09,0.61,72.5%,1.09,78.4,0.74,1.14
43,wrath,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,+1239,1.13,1.12,"<div class=""summaryPlayerAge"">21 years</div>",10634,50.1%,9395,1.13,83.9,3.5,525,13568,0.78,0.14,0.69,0.11,0.14,0.69,72.2%,1.21,83.9,0.78,1.12
44,dgt,['9z'],504,13344,+1750,1.22,1.11,"<div class=""summaryPlayerAge"">21 years</div>",9847,49.6%,8097,1.22,78.0,3.7,504,13344,0.74,0.12,0.61,0.09,0.12,0.61,73.9%,1.07,78.0,0.74,1.15
45,SunPayus,"['ENCE', 'Movistar Riders']",411,11018,+1466,1.23,1.11,"<div class=""summaryPlayerAge"">24 years</div>",7965,29.6%,6499,1.23,74.2,3.5,411,11018,0.72,0.10,0.59,0.08,0.10,0.59,72.8%,1.15,74.2,0.72,1.16
46,chelleos,"['Rooster', 'madlikewizards', 'Paradox']",601,15529,+1477,1.14,1.11,"<div class=""summaryPlayerAge"">22 years</div>",12005,31.9%,10528,1.14,83.5,4.1,601,15529,0.77,0.13,0.68,0.10,0.09,0.68,69.5%,1.38,83.5,0.77,1.19
47,h4rn,"['FATE', 'Fiend', 'Enterprise']",691,18526,+2418,1.22,1.11,"<div class=""summaryPlayerAge"">22 years</div>",13512,28.6%,11094,1.22,74.7,3.4,691,18526,0.73,0.10,0.60,0.09,0.09,0.60,72.6%,1.14,74.7,0.73,1.15
48,nawwk,"['Apeks', 'GamerLegion', 'Ninjas in Pyjamas', 'x6tence Galaxy']",1004,26876,+3503,1.21,1.11,"<div class=""summaryPlayerAge"">25 years</div>",19812,35.2%,16309,1.21,73.3,2.8,1004,26876,0.74,0.09,0.61,0.09,0.11,0.61,72.2%,1.09,73.3,0.74,1.13
49,PTC,"['Lucid Dream', '5POWER']",476,12393,+1408,1.18,1.11,"<div class=""summaryPlayerAge"">24 years</div>",9304,36.1%,7896,1.18,76.9,2.0,476,12393,0.75,0.10,0.64,0.08,0.09,0.64,71.2%,1.19,76.9,0.75,1.14
50,splashske,"['BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape']",722,18651,+1811,1.15,1.11,"<div class=""summaryPlayerAge"">23 years</div>",14145,38.4%,12334,1.15,78.5,3.5,722,18651,0.76,0.11,0.66,0.09,0.09,0.66,70.2%,1.25,78.5,0.76,1.11
51,zorte,"['forZe', 'Unique']",894,23988,+3033,1.21,1.11,"<div class=""summaryPlayerAge"">24 years</div>",17402,36.1%,14369,1.21,73.7,2.7,894,23988,0.73,0.09,0.60,0.09,0.11,0.60,72.7%,1.14,73.7,0.73,1.15
52,Twistzz,"['FaZe', 'Liquid']",1466,38566,+4206,1.18,1.11,"<div class=""summaryPlayerAge"">23 years</div>",28178,62.0%,23972,1.18,76.9,3.5,1466,38566,0.73,0.12,0.62,0.10,0.12,0.62,73.7%,1.08,76.9,0.73,1.11
53,erkaSt,"['NKT', 'Grayhound', 'TIGER', 'Immunity']",929,24153,+2445,1.15,1.11,"<div class=""summaryPlayerAge"">27 years</div>",18436,50.0%,15991,1.15,82.6,5.2,929,24153,0.76,0.14,0.66,0.09,0.09,0.66,71.9%,1.19,82.6,0.76,1.16
54,dream3r,"['E-frag.net', 'Fiend', 'SKADE']",1361,35721,+4371,1.20,1.11,"<div class=""summaryPlayerAge"">26 years</div>",26284,49.5%,21913,1.20,76.5,3.1,1361,35721,0.74,0.12,0.61,0.08,0.11,0.61,73.2%,1.04,76.5,0.74,1.11
55,GuardiaN,"['Natus Vincere', 'FaZe']",1590,41693,+4763,1.18,1.11,"<div class=""summaryPlayerAge"">31 years</div>",30757,29.6%,25994,1.18,71.8,2.8,1590,41693,0.74,0.11,0.62,0.08,0.09,0.62,69.7%,1.09,71.8,0.74,1.11
56,vsm,"['Fluxo', 'DETONA', '00NATION']",659,17435,+1694,1.15,1.11,"<div class=""summaryPlayerAge"">23 years</div>",13138,47.8%,11444,1.15,82.2,3.3,659,17435,0.75,0.13,0.66,0.09,0.09,0.66,71.5%,1.21,82.2,0.75,1.16
57,xsepower,"['forZe', 'K23']",1337,35899,+4793,1.23,1.11,"<div class=""summaryPlayerAge"">24 years</div>",25734,24.9%,20941,1.23,72.3,2.2,1337,35899,0.72,0.08,0.58,0.07,0.08,0.58,71.1%,1.19,72.3,0.72,1.15
58,CacaNito,['BLUEJAYS'],396,10627,+851,1.12,1.11,"<div class=""summaryPlayerAge"">22 years</div>",8167,46.3%,7316,1.12,86.1,5.0,396,10627,0.77,0.15,0.69,0.09,0.11,0.69,69.4%,1.26,86.1,0.77,1.16
59,ottoNd,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",904,23909,+2747,1.18,1.11,"<div class=""summaryPlayerAge"">25 years</div>",17661,27.0%,14914,1.18,75.9,3.3,904,23909,0.74,0.10,0.62,0.09,0.11,0.62,71.5%,1.17,75.9,0.74,1.15
60,FREDDyFROG,"['Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer']",1208,32176,+3606,1.18,1.11,"<div class=""summaryPlayerAge"">29 years</div>",23752,40.3%,20146,1.18,80.4,3.9,1208,32176,0.74,0.14,0.63,0.09,0.11,0.63,73.4%,1.13,80.4,0.74,1.11
61,TenZ,"['Bad News Bears', 'ATK']",401,10399,+839,1.12,1.10,"<div class=""summaryPlayerAge"">21 years</div>",7931,51.3%,7092,1.12,82.4,3.2,401,10399,0.76,0.14,0.68,0.10,0.12,0.68,71.5%,1.21,82.4,0.76,1.15
62,Vexite,"['Grayhound', 'ORDER', 'Chiefs']",411,10477,+854,1.12,1.10,"<div class=""summaryPlayerAge"">18 years</div>",8004,57.1%,7150,1.12,83.2,5.0,411,10477,0.76,0.14,0.68,0.10,0.11,0.68,71.7%,1.23,83.2,0.76,1.16
63,f0rest,"['Ninjas in Pyjamas', 'Dignitas']",2102,54673,+5675,1.16,1.10,"<div class=""summaryPlayerAge"">34 years</div>",41243,51.9%,35568,1.16,76.3,3.7,2102,54673,0.75,0.12,0.65,0.09,0.10,0.65,70.5%,1.07,76.3,0.75,1.10
64,Olivia,"['Beyond', 'Alpha Red', 'Signature']",634,16189,+1565,1.15,1.10,"<div class=""summaryPlayerAge"">25 years</div>",12279,37.0%,10714,1.15,78.5,2.4,634,16189,0.76,0.11,0.66,0.08,0.09,0.66,70.6%,1.19,78.5,0.76,1.13
65,dumau,"['00NATION', 'GODSENT', 'Yeah']",541,14372,+1623,1.18,1.10,"<div class=""summaryPlayerAge"">19 years</div>",10647,41.5%,9024,1.18,80.7,4.7,541,14372,0.74,0.14,0.63,0.08,0.11,0.63,72.7%,1.14,80.7,0.74,1.16
66,poizon,"['Complexity', 'Windigo', 'Bpro']",1108,29354,+2862,1.15,1.10,"<div class=""summaryPlayerAge"">24 years</div>",21623,33.6%,18761,1.15,78.0,3.8,1108,29354,0.74,0.12,0.64,0.09,0.10,0.64,70.6%,1.20,78.0,0.74,1.14
67,mir,"['Spirit', 'Vega Squadron', 'Gambit']",1066,28082,+2792,1.15,1.10,"<div class=""summaryPlayerAge"">27 years</div>",21326,52.0%,18534,1.15,81.5,4.9,1066,28082,0.76,0.13,0.66,0.10,0.11,0.66,71.7%,1.19,81.5,0.76,1.10
68,mertz,"['North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity']",957,25381,+2587,1.16,1.10,"<div class=""summaryPlayerAge"">24 years</div>",19106,32.4%,16519,1.16,77.4,2.4,957,25381,0.75,0.10,0.65,0.10,0.10,0.65,70.4%,1.22,77.4,0.75,1.10
69,HEN1,"['MIBR', 'Immortals', 'FURIA', 'Luminosity']",1257,32662,+4231,1.23,1.10,"<div class=""summaryPlayerAge"">27 years</div>",23007,29.2%,18776,1.23,74.9,4.1,1257,32662,0.70,0.12,0.57,0.08,0.09,0.57,73.5%,1.09,74.9,0.70,1.10
70,WARDELL,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,+1648,1.17,1.10,"<div class=""summaryPlayerAge"">24 years</div>",11627,27.2%,9979,1.17,74.2,2.1,609,15901,0.73,0.10,0.63,0.09,0.10,0.63,70.9%,1.19,74.2,0.73,1.13
71,CeRq,"['NRG', 'Evil Geniuses', 'Outlaws']",1234,32056,+3437,1.17,1.10,"<div class=""summaryPlayerAge"">23 years</div>",23391,27.9%,19954,1.17,73.9,2.4,1234,32056,0.73,0.10,0.62,0.10,0.11,0.62,72.1%,1.16,73.9,0.73,1.14
72,oSee,"['Liquid', 'Extra Salt', 'Singularity', 'Cloud9']",1197,31238,+3497,1.18,1.10,"<div class=""summaryPlayerAge"">23 years</div>",22947,31.4%,19450,1.18,75.6,2.8,1197,31238,0.73,0.11,0.62,0.11,0.12,0.62,72.9%,1.12,75.6,0.73,1.14
73,swag,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,+1629,1.18,1.10,"<div class=""summaryPlayerAge"">26 years</div>",10527,49.5%,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09,0.62,72.9%,1.09,77.6,0.73,1.10
74,Brehze,"['Evil Geniuses', 'NRG']",1234,32170,+2768,1.13,1.10,"<div class=""summaryPlayerAge"">24 years</div>",24331,52.7%,21563,1.13,80.1,2.5,1234,32170,0.76,0.12,0.67,0.10,0.12,0.67,71.7%,1.14,80.1,0.76,1.10
75,hades,"['ENCE', 'Wisla Krakow']",742,20079,+2298,1.18,1.10,"<div class=""summaryPlayerAge"">23 years</div>",14722,29.8%,12424,1.18,74.0,2.3,742,20079,0.73,0.09,0.62,0.07,0.08,0.62,71.1%,1.11,74.0,0.73,1.12
76,ekul,"['Paradox', 'SYF']",452,11703,+986,1.12,1.10,"<div class=""summaryPlayerAge"">27 years</div>",8895,36.6%,7909,1.12,80.0,2.9,452,11703,0.76,0.11,0.68,0.08,0.09,0.68,68.6%,1.28,80.0,0.76,1.14
77,Ax1Le,"['Gambit Youngsters', 'Gambit']",1006,26716,+2708,1.16,1.10,"<div class=""summaryPlayerAge"">20 years</div>",19463,48.6%,16755,1.16,80.5,5.2,1006,26716,0.73,0.14,0.63,0.09,0.09,0.63,72.5%,1.15,80.5,0.73,1.16
78,nython,"['Paquetá', 'RED Canids', 'paiN']",556,14824,+1516,1.16,1.10,"<div class=""summaryPlayerAge"">25 years</div>",11088,37.3%,9572,1.16,76.4,2.3,556,14824,0.75,0.10,0.65,0.09,0.10,0.65,71.6%,1.16,76.4,0.75,1.14
79,allu,"['ENCE', 'Ninjas in Pyjamas', 'FaZe']",1721,45168,+4648,1.16,1.10,"<div class=""summaryPlayerAge"">30 years</div>",33531,28.7%,28883,1.16,75.2,3.7,1721,45168,0.74,0.11,0.64,0.07,0.09,0.64,70.0%,1.13,75.2,0.74,1.10
80,moose,"['eUnited', 'Rise Nation']",752,19559,+1975,1.16,1.10,"<div class=""summaryPlayerAge"">24 years</div>",14503,44.1%,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09,0.64,71.5%,1.12,79.2,0.74,1.14
81,PwnAlone,"['Party Astronauts', 'New England Whalers']",976,25381,+2486,1.16,1.10,"<div class=""summaryPlayerAge"">32 years</div>",18496,31.5%,16010,1.16,76.2,3.5,976,25381,0.73,0.12,0.63,0.10,0.10,0.63,72.0%,1.17,76.2,0.73,1.14
82,Infinite,['Party Astronauts'],901,23490,+1998,1.13,1.09,"<div class=""summaryPlayerAge"">24 years</div>",17399,51.1%,15401,1.13,80.9,5.0,901,23490,0.74,0.14,0.66,0.10,0.11,0.66,72.3%,1.17,80.9,0.74,1.15
83,xccurate,"['TYLOO', 'Recca', 'BTRG', 'NKT']",698,18113,+1724,1.15,1.09,"<div class=""summaryPlayerAge"">25 years</div>",13334,31.2%,11610,1.15,74.2,1.9,698,18113,0.74,0.10,0.64,0.10,0.10,0.64,71.1%,1.14,74.2,0.74,1.09
84,mixwell,"['OpTic', 'Movistar Riders']",840,21804,+1911,1.13,1.09,"<div class=""summaryPlayerAge"">27 years</div>",16275,38.1%,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.10,0.10,0.66,71.2%,1.22,79.5,0.75,1.09
