,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
0,ZywOo,"'Vitality', 'aAa'",985,25890,5999,1.38,1.27,15786.0,21785.0
1,s1mple,'Natus Vincere',1544,40788,8916,1.34,1.25,26223.0,35139.0
2,sh1ro,"'Gambit Youngsters', 'Gambit'",853,22639,5372,1.45,1.22,11937.0,17309.0
3,deko,'1WIN',382,10313,2270,1.38,1.22,5973.0,8243.0
4,saffee,"'FURIA', 'paiN'",374,9873,1936,1.32,1.21,6049.0,7985.0
5,Kaze,"'ViCi', 'Flash', 'MVP.karnal'",835,21806,4143,1.32,1.19,12946.0,17089.0
6,degster,"'Spirit', 'Espada'",675,17974,3316,1.31,1.19,10696.0,14012.0
7,smooya,"'BIG', 'Movistar Riders', 'Epsilon'",861,22775,3775,1.27,1.18,13981.0,17756.0
8,sterling,"'Looking For Org', 'AVANT', 'Dire Wolves'",845,21645,3960,1.31,1.17,12774.0,16734.0
9,XANTARES,"'Eternal Fire', 'Space Soldiers', 'BIG'",1734,45617,6183,1.2,1.17,30915.0,37098.0
10,torzsi,"'MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander'",428,11450,1822,1.26,1.17,7007.0,8829.0
11,DANK1NG,"'TYLOO', 'EHOME'",374,9935,1597,1.25,1.16,6388.0,7985.0
12,device,"'Astralis', 'TSM'",1793,46666,7208,1.25,1.16,28832.0,36040.0
13,SENSEi,"'Run or Die', 'CR4ZY', 'Project X', 'Akuma'",427,11298,2090,1.33,1.16,6333.0,8423.0
14,NiKo,"'G2', 'FaZe', 'MOUZ'",1610,42813,5475,1.19,1.16,28815.0,34290.0
15,BnTeT,"'TYLOO', 'Gen.G', 'EXTREMUM'",1016,26493,3841,1.23,1.15,16700.0,20541.0
16,coldzera,"'SK', 'FaZe', 'Luminosity', 'MIBR'",1410,36822,5672,1.25,1.15,22688.0,28360.0
17,XigN,"'NKT', 'MVP PK', 'MVP Project'",705,18249,2434,1.2,1.15,12170.0,14604.0
18,blameF,"'Astralis', 'Complexity', 'Heroic', 'Epsilon'",841,22506,3488,1.26,1.15,13415.0,16903.0
19,Sico,"'Renegades', 'Grayhound', 'ORDER', 'Kings'",892,22621,3761,1.28,1.15,13432.0,17193.0
20,KSCERATO,'FURIA',900,23380,3732,1.28,1.15,13328.0,17060.0
21,Benkai,"'BOOT-d[S]', 'BOOT', 'dream[S]cape'",603,15560,2046,1.2,1.14,10230.0,12276.0
22,XELLOW,'Nexus',1061,27848,3273,1.18,1.14,18183.0,21456.0
23,Jame,"'AVANGAR', 'Virtus.pro'",1166,30922,5208,1.31,1.13,16799.0,22007.0
24,Texta,"'Chiefs', 'Athletico', 'Dark Sided'",625,15713,1750,1.16,1.13,10937.0,12687.0
25,mhL,"'MOUZ NXT', 'AGO'",458,12268,1592,1.2,1.13,7960.0,9552.0
26,El1an,"'Entropiq', 'Winstrike', 'EPG'",1264,33705,4695,1.23,1.13,20413.0,25108.0
27,oskar,"'MOUZ', 'SINNERS', 'HellRaisers'",1458,38450,4848,1.2,1.13,24240.0,29088.0
28,kennyS,"'G2', 'Envy', 'Titan'",1852,48898,6331,1.21,1.13,30147.0,36478.0
29,frozen,"'MOUZ', 'eXtatus'",1168,30540,3450,1.17,1.13,20294.0,23744.0
30,mantuu,"'OG', 'ALTERNATE aTTaX', 'PANTHERS'",682,18286,2345,1.21,1.12,11166.0,13511.0
31,huNter-,"'G2', 'Valiance', 'Binary Dragons'",1447,38234,4170,1.16,1.12,26062.0,30232.0
32,yuurih,'FURIA',992,25849,3125,1.19,1.12,16447.0,19572.0
33,Freeman,"'ViCi', 'TYLOO'",754,19211,2195,1.18,1.12,12194.0,14389.0
34,erkaSt,"'Grayhound', 'TIGER', 'Immunity'",859,22286,2504,1.17,1.12,14729.0,17233.0
35,chelleos,"'Paradox', 'Rooster', 'madlikewizards'",559,14429,1455,1.15,1.12,9700.0,11155.0
36,vsm,"'00NATION', 'DETONA'",533,14130,1485,1.16,1.12,9281.0,10766.0
37,woxic,"'Eternal Fire', 'HellRaisers', 'MOUZ', 'DarkPassage'",1140,29863,3729,1.2,1.12,18645.0,22374.0
38,INS,"'Renegades', 'Chiefs', 'ORDER', 'Tainted Minds'",936,23751,2625,1.17,1.12,15441.0,18066.0
39,liTTle,"'forZe', 'RuSh3D', 'Spartak', 'Enso'",458,12159,1550,1.2,1.12,7750.0,9300.0
40,ropz,'MOUZ',1103,29169,3689,1.21,1.12,17566.0,21255.0
41,dream3r,"'SKADE', 'E-frag.net', 'Fiend'",1241,32478,4209,1.21,1.12,20042.0,24251.0
42,kNgV-,"'MIBR', 'INTZ'",827,21606,2406,1.17,1.12,14152.0,16558.0
43,Jamppi,"'SJ', 'ENCE'",503,13449,1408,1.16,1.12,8800.0,10208.0
44,wrath,"'New Identity', 'Secret Club', 'BlackOut'",525,13568,1239,1.13,1.12,9530.0,10769.0
45,xsepower,"'K23', 'forZe'",1223,32796,4578,1.24,1.12,19075.0,23653.0
46,PTC,"'Lucid Dream', '5POWER'",476,12393,1408,1.18,1.11,7822.0,9230.0
47,GuardiaN,"'Natus Vincere', 'FaZe'",1568,41069,4811,1.19,1.11,25321.0,30132.0
48,splashske,"'BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape'",722,18651,1811,1.15,1.11,12073.0,13884.0
49,Twistzz,"'FaZe', 'Liquid'",1349,35423,3891,1.18,1.11,21616.0,25507.0
50,oSee,"'Extra Salt', 'Singularity', 'Cloud9'",1079,27999,3355,1.19,1.11,17657.0,21012.0
51,NEOFRAG,'SINNERS',648,17364,1550,1.13,1.11,11923.0,13473.0
52,dgt,'9z',407,10750,1321,1.2,1.11,6605.0,7926.0
53,ottoNd,"'HAVU', 'Valiance', 'CR4ZY', 'c0ntact'",855,22591,2642,1.19,1.11,13905.0,16547.0
54,zorte,"'forZe', 'Unique'",694,18479,2228,1.2,1.11,11140.0,13368.0
55,FREDDyFROG,"'Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer'",1207,32156,3616,1.18,1.11,20088.0,23704.0
56,Brehze,"'Evil Geniuses', 'NRG'",1164,30296,2781,1.14,1.1,19864.0,22645.0
57,TenZ,"'Bad News Bears', 'ATK'",401,10399,839,1.12,1.1,6991.0,7830.0
58,f0rest,"'Dignitas', 'NIP'",2083,54162,5669,1.16,1.1,35431.0,41100.0
59,CeRq,"'Evil Geniuses', 'NRG', 'Outlaws'",1199,31114,3425,1.18,1.1,19027.0,22452.0
60,Infinite,'Party Astronauts',812,21189,1971,1.14,1.1,14078.0,16049.0
61,Olivia,"'Beyond', 'Alpha Red', 'Signature'",634,16189,1565,1.15,1.1,10433.0,11998.0
62,poizon,"'Complexity', 'Windigo', 'Bpro'",1101,29160,2855,1.15,1.1,19033.0,21888.0
63,mertz,"'North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity'",955,25333,2594,1.16,1.1,16212.0,18806.0
64,ekul,"'Paradox', 'SYF'",449,11608,1003,1.13,1.1,7715.0,8718.0
65,WARDELL,"'Ghost', ""Bee's Money Crew"", 'Orgless'",609,15901,1648,1.17,1.1,9694.0,11342.0
66,dumau,"'GODSENT', 'Yeah'",439,11641,1322,1.18,1.1,7344.0,8666.0
67,nawwk,"'Apeks', 'GamerLegion', 'NIP', 'x6tence Galaxy'",857,22861,2645,1.19,1.1,13921.0,16566.0
68,swag,"'Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus'",556,14447,1629,1.18,1.1,9050.0,10679.0
69,HEN1,"'Immortals', 'FURIA', 'Luminosity'",1083,28128,3490,1.21,1.1,16619.0,20109.0
70,mir,"'Spirit', 'Vega Squadron', 'Gambit'",980,25665,2534,1.15,1.1,16893.0,19427.0
71,h4rn,"'FATE', 'Fiend'",511,13616,1525,1.18,1.1,8472.0,9997.0
72,aliStair,"'Renegades', 'ORDER', 'Chiefs'",1047,26607,2823,1.17,1.1,16605.0,19428.0
73,Ax1Le,"'Gambit Youngsters', 'Gambit'",926,24557,2461,1.16,1.1,15381.0,17842.0
74,Spinx,"'ENCE', 'c0ntact'",423,11206,1031,1.14,1.1,7364.0,8395.0
75,moose,"'eUnited', 'Rise Nation'",752,19559,1975,1.16,1.1,12343.0,14318.0
76,nython,"'paiN', 'RED Canids', 'Paquetá'",490,13082,1308,1.15,1.1,8720.0,10028.0
77,Calyx,"'Eternal Fire', 'Space Soldiers', 'DarkPassage'",1075,28035,2864,1.16,1.1,17900.0,20764.0
78,xccurate,"'TYLOO', 'Recca', 'BTRG', 'NKT'",698,18113,1724,1.15,1.09,11493.0,13217.0
79,mixwell,"'OpTic', 'Movistar Riders'",840,21804,1911,1.13,1.09,14700.0,16611.0
80,PwnAlone,"'Party Astronauts', 'New England Whalers', 'High Coast'",901,23484,2283,1.15,1.09,15220.0,17503.0
81,hades,"'ENCE', 'Wisla Krakow'",572,15337,1701,1.18,1.09,9450.0,11151.0
82,allu,"'ENCE', 'NIP', 'FaZe'",1610,42162,4305,1.16,1.09,26906.0,31211.0
83,electroNic,"'Natus Vincere', 'FlipSid3'",1291,34076,3033,1.14,1.09,21664.0,24697.0
84,lollipop21k,"'Nemiga', 'GoodJob'",1156,30907,2500,1.12,1.09,20833.0,23333.0
85,syrsoN,"'BIG', 'ALTERNATE aTTaX', 'Sprout'",1694,44968,4514,1.16,1.09,28212.0,32726.0
86,GeT_RiGhT,'NIP',1745,45030,4298,1.15,1.09,28653.0,32951.0
87,floppy,"'Cloud9', 'Singularity'",796,20906,1729,1.13,1.09,13300.0,15029.0
88,JUGi,"'Heroic', 'OpTic', 'Tricked', 'North'",940,24427,2676,1.18,1.09,14866.0,17542.0
89,dexter,"'MOUZ', 'Grayhound', 'Renegades'",956,24578,2061,1.13,1.09,15853.0,17914.0
90,Farlig,"'Copenhagen Flames', 'FunPlus Phoenix', 'GODSENT'",688,18382,1797,1.16,1.09,11231.0,13028.0
91,cynic,"'Gaimin Gladiators', 'Party Astronauts', 'Triumph'",639,16567,1604,1.15,1.09,10693.0,12297.0
92,Cooper,"'Swole Patrol', 'eUnited', 'Triumph'",754,19536,1965,1.16,1.09,12281.0,14246.0
93,gas,"'Wings Up', 'LGD', 'EDG', 'Aster'",446,11650,718,1.09,1.09,7977.0,8695.0
94,Sonic,"'Bravado', 'Extra Salt', 'Cloud9'",940,24238,2217,1.14,1.09,15835.0,18052.0
95,zehN,"'GODSENT', 'HAVU', 'PENTA', 'FunPlus Phoenix'",1073,28305,2384,1.13,1.09,18338.0,20722.0
96,JOTA,"'MIBR', 'Bravos', 'Keyd', 'Santos'",395,10285,952,1.14,1.09,6800.0,7752.0
97,ZOREE,"'HAVU', 'iGame.com', 'SJ'",1656,43985,4449,1.16,1.09,27806.0,32255.0
98,NAF,"'Liquid', 'OpTic'",1555,40791,3988,1.16,1.09,24925.0,28913.0
99,ryx,"'Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest'",491,12856,1181,1.14,1.09,8435.0,9616.0
100,mezii,"'fnatic', 'Endpoint', 'GamerLegion', 'Cloud9', 'Vexed'",500,13551,1240,1.14,1.09,8857.0,10097.0
101,BL1TZ,"'Chiefs', 'Legacy', 'AVANT', 'Funky Monkeys'",732,18819,1628,1.13,1.09,12523.0,14151.0
102,biguzera,'paiN',588,15659,1495,1.15,1.09,9966.0,11461.0
103,ScreaM,"'Envy', 'G2', 'Titan', 'VeryGames'",1430,37087,3105,1.13,1.09,23884.0,26989.0
104,dennyslaw,'SKADE',1129,30375,2805,1.14,1.09,20035.0,22840.0
105,EliGE,'Liquid',1594,41743,2992,1.1,1.09,29919.0,32911.0
106,HaZR,"'Looking For Org', 'AVANT', 'Breakaway', 'Dire Wolves'",768,19641,1318,1.1,1.09,13179.0,14497.0
107,faveN,"'Sprout', 'EURONICS'",1321,35296,3092,1.13,1.09,23784.0,26876.0
108,nex,"'BIG', 'MOUZ'",1074,28389,2435,1.13,1.09,18730.0,21165.0
109,fer,"'SK', 'MIBR', 'Luminosity'",1411,36818,2811,1.11,1.09,25554.0,28365.0
110,valde,"'North', 'OG', 'Heroic'",1230,32676,2826,1.13,1.09,21738.0,24564.0
111,k0nfig,"'Dignitas', 'OpTic', 'Complexity', 'North'",1519,40207,2491,1.09,1.08,27677.0,30168.0
112,nukkye,"'Imperial', 'HellRaisers', 'NoChance'",592,15492,1330,1.13,1.08,10230.0,11560.0
113,Attacker,"'TYLOO', 'Flash'",1244,32013,2709,1.13,1.08,20838.0,23547.0
114,dupreeh,"'Astralis', 'TSM'",1918,49949,4350,1.13,1.08,33461.0,37811.0
115,Magisk,"'Astralis', 'SK', 'Dignitas'",1376,36221,3232,1.14,1.08,23085.0,26317.0
116,exit,"'MIBR', 'Sharks'",704,18107,1857,1.17,1.08,10923.0,12780.0
117,Savage,"'VG.CyberZen', 'ViCi', 'CyberZen', '5POWER'",836,21434,1926,1.14,1.08,13757.0,15683.0
118,Machinegun,"'TheMongolz', 'Mazaalai', 'Splyce'",421,10714,671,1.09,1.08,7455.0,8126.0
119,DJOXiC,"'Binary Dragons', 'iNation', 'Valiance'",489,12531,1204,1.15,1.08,8026.0,9230.0
120,Detrony,'Bravado',412,10449,862,1.13,1.08,6630.0,7492.0
121,Summer,"'TYLOO', 'Flash'",1251,32235,2836,1.14,1.08,20257.0,23093.0
122,junior,"'Complexity', 'Triumph', 'Bad News Bears', 'FURIA'",468,12247,1307,1.18,1.08,7261.0,8568.0
123,keev,"'ALTERNATE aTTaX', 'BIG', 'KILLERFISH'",594,15524,1217,1.12,1.08,10141.0,11358.0
124,felps,"'SK', 'GODSENT', 'Immortals', 'Tempo Storm'",998,25554,1601,1.09,1.08,17788.0,19389.0
125,draken,"'Epsilon', 'NIP', 'Red Reserve'",1093,28857,2660,1.15,1.08,17733.0,20393.0
126,sergej,"'GORILLAZ', 'ENCE', 'HAVU'",776,20425,1816,1.14,1.08,12971.0,14787.0
127,Hatz,"'Renegades', 'ORDER', 'Kings'",937,23862,2023,1.13,1.08,15561.0,17584.0
128,pz,"'VERTEX', 'TRUCKERS WITH ATTITUDE', 'Airborne'",426,11132,949,1.14,1.08,6778.0,7727.0
129,ShahZaM,"'Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic'",966,25252,2058,1.13,1.08,15830.0,17888.0
130,jayzaR,"'Valiance', 'Enyoy'",525,13870,953,1.1,1.08,9529.0,10482.0
131,MICHU,"'Virtus.pro', 'Kinguin', 'CSGL'",1732,45397,3065,1.1,1.08,30649.0,33714.0
132,Ryxxo,"'Tricked', 'Singularity'",835,21960,1885,1.14,1.08,13464.0,15349.0
133,FL1T,'forZe',1226,33074,2748,1.13,1.08,21138.0,23886.0
134,hAdji,"'LDLC', 'EnVyUs Academy', '3DMAX'",1130,29823,2256,1.11,1.08,20509.0,22765.0
135,Rickeh,"'ORDER', 'CLG', 'Rogue', 'Renegades'",948,24829,2351,1.15,1.07,15673.0,18024.0
136,slaxz-,"'Sprout', 'ALTERNATE aTTaX'",861,23253,2021,1.14,1.07,14435.0,16456.0
137,ptr,"'Bad News Bears', 'NRG', 'Complexity'",1132,29624,2697,1.15,1.07,17980.0,20677.0
138,Impulse,"'Valiance', 'ONYX', 'lvlUP', 'RESISTANCE'",766,20371,1598,1.12,1.07,13316.0,14914.0
139,nicoodoz,'Copenhagen Flames',708,19019,1761,1.15,1.07,11740.0,13501.0
140,dapr,'eUnited',594,15426,1002,1.1,1.07,10019.0,11021.0
141,YEKINDAR,"'pro100', 'Virtus.pro', 'EPG'",1091,28988,1460,1.07,1.07,20857.0,22317.0
142,NaToSaphiX,"'Sprout', 'Nordavind'",948,25338,2439,1.16,1.07,15243.0,17682.0
143,meyern,"'Furious', 'MIBR', 'Isurus', 'Sharks'",429,11185,715,1.1,1.07,7149.0,7864.0
144,Liazz,"'Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM'",968,24980,2089,1.14,1.07,14921.0,17010.0
145,iDISBALANCE,"'Nemiga', 'Spirit'",858,22715,2041,1.14,1.07,14578.0,16619.0
146,autimatic,"'Cloud9', 'Gen.G'",1166,30439,2245,1.11,1.07,20409.0,22654.0
147,shox,"'G2', 'Vitality', 'Envy'",2011,52739,3791,1.11,1.07,34463.0,38254.0
148,trk,"'TeamOne', 'MIBR'",798,20906,1520,1.11,1.07,13818.0,15338.0
149,fejtZ,"'SMASH', 'ArchAngels'",737,19556,1351,1.1,1.07,13509.0,14860.0
150,jks,"'Renegades', 'Complexity', '100 Thieves'",1183,30912,2347,1.12,1.07,19558.0,21905.0
151,dycha,"'ENCE', 'Sprout', 'Aristocracy'",783,20961,1286,1.09,1.07,14288.0,15574.0
152,smike,"""spray'n'pray"", 'pro100', 'ACG', 'eXplosive', 'k1ck'",480,12461,655,1.08,1.07,8187.0,8842.0
153,NikoM,"'TeamOne', 'Isurus', 'DETONA'",475,12189,864,1.11,1.07,7854.0,8718.0
154,hallzerk,"'Dignitas', 'Nordavind'",746,20275,1405,1.11,1.07,12772.0,14177.0
155,xand,"'INTZ', 'Yeah'",515,13210,875,1.1,1.07,8749.0,9624.0
156,paz,"'Space Soldiers', 'Sangal'",1068,27990,1998,1.11,1.07,18163.0,20161.0
157,CRUC1AL,"'Endpoint', 'Epsilon'",1461,38299,2796,1.11,1.07,25418.0,28214.0
158,InfrequeNt,"'Athletico', 'Tainted Minds', 'Chiefs'",479,12350,920,1.11,1.07,8363.0,9283.0
159,EspiranTo,"'Imperial', 'Valiance', 'CR4ZY', 'c0ntact'",871,22800,1316,1.08,1.07,16449.0,17765.0
160,boltz,"'Immortals', 'Luminosity', 'SK', 'MIBR'",1279,33305,2631,1.12,1.07,21924.0,24555.0
161,HObbit,"'Gambit', 'Winstrike'",1153,30411,2217,1.11,1.07,20154.0,22371.0
162,WorldEdit,"'FlipSid3', 'pro100', 'Winstrike'",1328,34716,2476,1.11,1.07,22509.0,24985.0
163,QKA,"'5POWER', 'UYA', 'BOOT'",402,10409,702,1.1,1.07,7019.0,7721.0
164,hardzao,"'paiN', 'DETONA'",668,17570,1493,1.14,1.07,10664.0,12157.0
165,fame,"'K23', 'SG.pro'",495,13219,870,1.1,1.07,8699.0,9569.0
166,somebody,'TYLOO',1253,32437,2141,1.1,1.07,21409.0,23550.0
167,broky,"'FaZe', 'Epsilon'",669,17849,1546,1.14,1.07,11042.0,12588.0
168,FalleN,"'SK', 'MIBR', 'Luminosity'",1558,40764,3694,1.15,1.07,24626.0,28320.0
169,Brollan,"'fnatic', 'GODSENT'",977,25955,1514,1.09,1.07,16822.0,18336.0
170,anarkez,"'Finest', 'Secret'",670,17956,1244,1.11,1.07,11309.0,12553.0
171,shroud,'Cloud9',676,17460,1311,1.12,1.07,10924.0,12235.0
172,Pimp,"'Dignitas', 'SK', 'Liquid', 'CPH Wolves'",976,25052,2016,1.13,1.07,15507.0,17523.0
173,shz,"'Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM'",794,20588,1444,1.11,1.07,13127.0,14571.0
174,DD,"'TYLOO', 'OneThree'",913,23620,1521,1.1,1.07,15209.0,16730.0
175,NikkeZ,"'Ground Zero', 'Athletico', 'Legacy'",399,10276,556,1.08,1.06,6949.0,7505.0
176,chelo,"'MIBR', 'INTZ', 'Luminosity'",880,22771,1409,1.09,1.06,15655.0,17064.0
177,snatchie,"'AGO', 'Virtus.pro', 'Sprout'",1557,41766,2469,1.09,1.06,27433.0,29902.0
178,zhokiNg,"'ViCi', 'VG.CyberZen'",1209,30839,1481,1.07,1.06,21157.0,22638.0
179,b1t,"'Natus Vincere', 'NAVI Junior'",432,11477,861,1.12,1.06,7174.0,8035.0
180,roeJ,"'Copenhagen Flames', 'MAD Lions', 'Tricked'",877,23164,1371,1.09,1.06,15233.0,16604.0
181,ofnu,"'Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox'",852,21778,1380,1.1,1.06,13799.0,15179.0
182,AnJ,"'NRG', 'Singularity', 'Tricked'",403,10503,763,1.11,1.06,6936.0,7699.0
183,Ethan,"'NRG', 'CLG', 'Evil Geniuses'",986,25998,1488,1.09,1.06,16533.0,18021.0
184,Happy,"'Envy', 'LDLC'",1464,37933,2745,1.11,1.06,24954.0,27699.0
185,acoR,"'Tricked', 'North Academy', 'MAD Lions', 'MOUZ'",1057,27637,1982,1.11,1.06,18018.0,20000.0
186,flying,'Invictus',402,10750,555,1.08,1.06,6937.0,7492.0
187,SHiPZ,"'SKADE', 'Windigo'",1653,44052,2145,1.07,1.06,30642.0,32787.0
188,COLDYY1,'Spirit',947,24917,1718,1.11,1.06,15618.0,17336.0
189,SLOWLY,"'TYLOO', 'EHOME'",523,13867,679,1.07,1.06,9699.0,10378.0
190,Valiance,"'ORDER', 'Paradox'",646,16727,1090,1.1,1.06,10899.0,11989.0
191,b4rtiN,"'GODSENT', 'TeamOne'",519,13592,889,1.1,1.06,8889.0,9778.0
192,Skadoodle,'Cloud9',1047,27129,2458,1.15,1.06,16386.0,18844.0
193,pancc,"'W7M', 'Sharks'",581,15327,787,1.08,1.06,9837.0,10624.0
194,Maka,"'Heretics', 'LDLC', '3DMAX'",1177,31287,2089,1.1,1.06,20889.0,22978.0
