,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
195,koosta,"'CLG', 'Ghost', 'Gen.G', 'Enemy'",977,25766,1341,1.08,1.06,16762.0,18103.0
196,suNny,"'ENCE', 'MOUZ', 'PENTA'",1311,34560,1609,1.07,1.06,22985.0,24594.0
197,tucks,'Chiefs',718,18208,1227,1.1,1.06,12269.0,13496.0
198,TOR,"'Signature', 'Beyond'",452,11472,657,1.09,1.06,7299.0,7956.0
199,olofmeister,"'fnatic', 'FaZe'",1560,40776,2696,1.1,1.06,26959.0,29655.0
200,malbsMd,"'TeamOne', 'Infinity'",525,13434,369,1.04,1.06,9224.0,9593.0
201,nexa,"'G2', 'Valiance', 'Imperial'",1231,32586,2160,1.1,1.05,21599.0,23759.0
202,Gratisfaction,"'Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM'",897,23347,1689,1.12,1.05,14074.0,15763.0
203,KEi,"'AVEZ', 'Anonymo', 'Sprout'",633,17036,650,1.05,1.05,12999.0,13649.0
204,REDSTAR,"'Fiend', 'Bpro'",618,16408,1150,1.11,1.05,10454.0,11604.0
205,Rainwaker,'SKADE',1085,29262,1894,1.1,1.05,18939.0,20833.0
206,rallen,"'Kinguin', 'AGO'",1749,46699,2997,1.1,1.05,29969.0,32966.0
207,bottle,"'Born Of Fire', 'Eclipse', 'Invictus', '5POWER', 'CyberZen'",768,19801,871,1.06,1.05,14516.0,15387.0
208,ISSAA,"'HellRaisers', 'OG'",870,22834,1402,1.09,1.05,15577.0,16979.0
209,tabseN,"'BIG', 'PENTA', 'MOUZ'",1912,50478,1552,1.04,1.05,38799.0,40351.0
210,zeph,"'ORDER', 'Chiefs', 'Ground Zero'",555,14146,585,1.06,1.05,9749.0,10334.0
211,Sobol,"'Wisla Krakow', 'PACT'",784,21196,1115,1.08,1.05,13937.0,15052.0
212,iM,"'GamerLegion', 'Nexus'",766,20549,833,1.06,1.05,13883.0,14716.0
213,JW,'fnatic',1932,50772,2519,1.07,1.05,35985.0,38504.0
214,Ramz1kBO$$,"'Tengri', 'Syman'",425,11070,553,1.07,1.05,7899.0,8452.0
215,HZ,"'TYLOO', 'CyberZen', 'AllGamers'",500,12856,691,1.08,1.05,8637.0,9328.0
216,cajunb,"'North', 'TSM', 'OpTic', 'Dignitas'",1745,45680,2884,1.1,1.05,28839.0,31723.0
217,mou,"'Gambit', 'K23', 'HellRaisers', 'Syman'",1489,39475,2484,1.1,1.05,24839.0,27323.0
218,sdy,'Spirit',1054,27638,1872,1.11,1.05,17018.0,18890.0
219,KRIMZ,'fnatic',1772,46627,3043,1.1,1.05,30429.0,33472.0
220,Marcelious,"'Apeks', '777', 'NOREG'",464,12520,627,1.08,1.05,7837.0,8464.0
221,TeSeS,"'Heroic', 'Copenhagen Flames'",812,21706,1011,1.07,1.05,14442.0,15453.0
222,yay,"'Complexity', 'Orgless'",653,17182,604,1.05,1.05,12079.0,12683.0
223,Grim,"'Liquid', 'Triumph', 'Dignitas', 'Spacestation'",875,23028,746,1.05,1.05,14919.0,15665.0
224,Qikert,"'AVANGAR', 'Virtus.pro'",1246,32938,1993,1.09,1.05,22144.0,24137.0
225,stavn,"'Heroic', 'Fragsters'",1100,29323,1412,1.07,1.05,20171.0,21583.0
226,juanflatroo,"'BLINK', 'Secret'",544,14533,402,1.04,1.05,10049.0,10451.0
227,SicK,"'Rogue', 'Misfits', 'TSM'",795,20701,1040,1.07,1.05,14857.0,15897.0
228,NEEX,"'Izako Boars', 'ESC'",429,11195,574,1.08,1.05,7174.0,7748.0
229,Aerial,"'HAVU', 'ENCE'",943,25018,1217,1.07,1.05,17385.0,18602.0
230,loWel,"'Movistar Riders', 'PENTA', 'MOUZ'",1008,26413,1739,1.1,1.05,17389.0,19128.0
231,Flarich,"'HellRaisers', 'pro100'",1058,28161,1801,1.1,1.05,18009.0,19810.0
232,raafa,"'W7M', 'Keyd'",640,16832,1092,1.1,1.05,10919.0,12011.0
233,Zellsis,"'Swole Patrol', 'Lazarus'",626,16210,803,1.07,1.05,11471.0,12274.0
234,WolfY,"'ECSTATIC', 'Lyngby Vikings', 'Secret Club'",527,14037,993,1.11,1.05,9027.0,10020.0
235,flusha,'fnatic',1870,49072,2703,1.08,1.05,33787.0,36490.0
236,rommi,"'Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337'",516,13467,604,1.06,1.05,10066.0,10670.0
237,cadiaN,"'Heroic', 'Rogue', 'SK'",1455,38459,2513,1.1,1.05,25129.0,27642.0
238,malta,"'Grayhound', 'Chiefs', 'Renegades'",989,25205,1445,1.09,1.04,16055.0,17500.0
239,refrezh,"'Heroic', 'Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic'",966,25737,1336,1.08,1.04,16699.0,18035.0
240,MarKE,"'Extra Salt', 'eUnited', 'Swole Patrol'",926,23830,1348,1.09,1.04,14977.0,16325.0
241,Swahn,"'Bad News Bears', 'iNTACT', 'Detonate', 'Bushido Boyz'",374,9836,558,1.09,1.04,6199.0,6757.0
242,Kjaerbye,"'North', 'Dignitas', 'Astralis'",1519,39947,2110,1.08,1.04,26374.0,28484.0
243,FASHR,"'ECSTATIC', 'Lyngby Vikings', 'Defusekids'",696,18433,658,1.05,1.04,13159.0,13817.0
244,kabal,"'5POWER', 'TheMongolz', 'TIGER'",778,20398,1098,1.08,1.04,13724.0,14822.0
245,afro,"'HEET', 'DBL PONEY', 'LDLC'",547,14615,806,1.09,1.04,8955.0,9761.0
246,n0rb3r7,"'K23', 'Winstrike', 'Syman'",1053,28151,845,1.04,1.04,21124.0,21969.0
247,DavCost,"'INDE IRAE', 'Spirit', '1WIN'",1256,33101,1861,1.09,1.04,20677.0,22538.0
248,Bwills,"'Triumph', 'Infamous'",761,19695,920,1.07,1.04,13142.0,14062.0
249,zewsy,"'Tainted Minds', 'Chiefs', 'Winterfox'",618,15666,667,1.06,1.04,11116.0,11783.0
250,STOMP,"'x-kom', 'Izako Boars', 'Illuminar', 'HONORIS'",809,21729,1329,1.1,1.04,13289.0,14618.0
251,aumaN,'ViCi',874,22423,1183,1.08,1.04,14787.0,15970.0
252,jkaem,"'Apeks', 'Renegades', 'FaZe', '100 Thieves'",1282,33822,1102,1.05,1.04,22039.0,23141.0
253,Snakes,"'Spacestation', 'The Quest', 'SoaR'",403,10328,461,1.07,1.04,6585.0,7046.0
254,Hiko,"'Liquid', 'Rogue'",937,24398,1532,1.1,1.04,15319.0,16851.0
255,Geniuss,"'Signature', 'Beyond', 'Lucid Dream'",398,10155,309,1.04,1.04,7724.0,8033.0
256,Snax,"'Virtus.pro', 'Anonymo'",2103,55469,2796,1.08,1.04,34949.0,37745.0
257,KHTEX,"'Paquetá', 'Wild', 'Virtue'",607,15652,890,1.09,1.04,9888.0,10778.0
258,motm,"'ATK', 'Cloud9'",920,24275,890,1.05,1.04,17799.0,18689.0
259,Lucky,"'Tricked', 'Astralis'",434,11721,670,1.09,1.04,7444.0,8114.0
260,HSK,"'MVP PK', 'MVP Project', 'GOSU'",540,13851,845,1.1,1.04,8449.0,9294.0
261,Bubzkji,"'Tricked', 'Fragsters', 'MAD Lions', 'Astralis'",817,21619,963,1.07,1.04,13757.0,14720.0
262,eraa,'GamerLegion',559,15156,701,1.07,1.04,10014.0,10715.0
263,twist,"'GODSENT', 'fnatic', 'NIP'",1687,44685,1754,1.06,1.04,29233.0,30987.0
264,ANDROID,"'Complexity', 'Envy'",835,21741,1036,1.07,1.04,14799.0,15835.0
265,imoRR,"'Eternal Fire', 'Sangal', 'Royal Bandits'",612,16308,275,1.02,1.04,13749.0,14024.0
266,LOVEYY,"'Flash', 'VG.CyberZen', 'VG.Flash'",708,17977,699,1.06,1.04,11649.0,12348.0
267,buster,"'AVANGAR', 'Virtus.pro'",1252,33082,1966,1.1,1.04,19659.0,21625.0
268,Lucky,"'Heretics', 'DBL PONEY', 'G2', '3DMAX'",1180,31516,1508,1.07,1.03,21542.0,23050.0
269,Davidp,"'3DMAX', 'Heretics'",774,20539,1009,1.08,1.03,12612.0,13621.0
270,tb,"'VG.CyberZen', 'CyberZen', 'ViCi'",619,15737,708,1.07,1.03,10114.0,10822.0
271,TRAVIS,'1WIN',486,12942,437,1.05,1.03,8739.0,9176.0
272,dobu,"'5POWER', 'TIGER', 'TheMongolz'",779,20403,664,1.05,1.03,13279.0,13943.0
273,dEE,"'lvlUP', '4glory', 'Juggernauts', 'BLUEJAYS'",439,11583,551,1.07,1.03,7871.0,8422.0
274,tarik,"'CLG', 'Evil Geniuses', 'Cloud9', 'OpTic'",1438,37326,1316,1.05,1.03,26319.0,27635.0
275,Kntz,"'Alpha Red', 'Beyond', 'NSPR'",509,13117,627,1.07,1.03,8957.0,9584.0
276,rAge,"'Hard Legion', 'Windigo Academy'",382,10184,684,1.11,1.03,6218.0,6902.0
277,REZ,"'NIP', 'Epsilon'",1333,35066,1297,1.06,1.03,21616.0,22913.0
278,JUST,"'SAW', 'OFFSET'",860,22642,838,1.06,1.03,13966.0,14804.0
279,Maden,"'ENCE', 'GODSENT', 'FunPlus Phoenix', 'SMASH'",669,17803,408,1.03,1.03,13599.0,14007.0
280,NK4Y,"'Outlaws', 'Bpro', 'ex-Epsilon'",480,12325,429,1.05,1.03,8579.0,9008.0
281,USTILO,"'Renegades', 'ORDER'",1144,29584,928,1.05,1.03,18559.0,19487.0
282,land1n,"'paiN', 'Wild', 'Case', 'BigGods'",760,19874,1158,1.1,1.03,11579.0,12737.0
283,Subroza,"'Ghost', 'FRENCH CANADIANS', 'CLG', 'Lazarus', 'Orgless'",623,16275,375,1.03,1.03,12499.0,12874.0
284,F1KU,'AGO',583,15876,399,1.04,1.03,9974.0,10373.0
285,sjuush,"'Heroic', 'Tricked', 'MAD Lions'",805,21293,929,1.07,1.03,13271.0,14200.0
286,max,"'9z', 'Isurus', 'Furious'",542,14337,600,1.06,1.03,9999.0,10599.0
287,Lucaozy,"'Sharks', 'DETONA', 'Reapers'",390,10576,462,1.07,1.03,6599.0,7061.0
288,DannyG,"'Rooster', 'Paradox'",377,9748,294,1.04,1.03,7349.0,7643.0
289,yam,"'Renegades', 'Tainted Minds'",547,14003,650,1.07,1.03,9285.0,9935.0
290,fnx,"'Imperial', 'Luminosity', 'SK', 'Immortals', 'RED Canids', 'Não Tem Como'",664,17045,773,1.07,1.03,11042.0,11815.0
291,juho,"'ENCE', 'iGame.com'",756,19886,248,1.02,1.03,12399.0,12647.0
292,KENSI,"'forZe', 'ex-ETHEREAL'",486,13041,668,1.08,1.03,8349.0,9017.0
293,JonY BoY,"'Gale Force', 'Miami Flamingos', 'Furious', 'Isurus'",421,10813,368,1.05,1.03,7359.0,7727.0
294,alex,'Movistar Riders',1265,33492,1417,1.06,1.03,23616.0,25033.0
295,Relaxa,"'Chaos', 'Red Reserve', 'Japaleno', 'Apeks', 'Galaxy Racer'",1203,32043,1945,1.1,1.03,19449.0,21394.0
296,fleav,"'Budapest Five', 'GameAgents'",551,14495,343,1.03,1.03,11433.0,11776.0
297,znajder,"'GODSENT', 'fnatic', 'EURONICS'",1050,27577,1070,1.06,1.03,17833.0,18903.0
298,DEV7L,'eXtatus',549,14256,582,1.06,1.03,9699.0,10281.0
299,AiyvaN,"'pro100', ""spray'n'pray""",694,18045,592,1.05,1.03,11839.0,12431.0
300,rain,'FaZe',1582,41854,891,1.03,1.03,29699.0,30590.0
301,DiMKE,"'4glory', 'lvlUP', 'RESISTANCE', 'ONYX'",635,16721,506,1.04,1.03,12649.0,13155.0
302,captainMo,"'TYLOO', 'OneThree'",814,20980,617,1.04,1.03,15424.0,16041.0
303,phzy,"'Young Ninjas', 'NIP'",447,12013,620,1.08,1.03,7749.0,8369.0
304,Thomas,'Endpoint',922,24498,860,1.05,1.03,17199.0,18059.0
305,glowiing,"'1WIN', 'Trident', 'Cyber Legacy'",481,12795,225,1.03,1.03,7499.0,7724.0
306,stfN,'ALTERNATE aTTaX',1349,35834,1458,1.06,1.03,24299.0,25757.0
307,Patsi,"'Spirit', 'Espada', 'Spirit Academy'",502,13466,290,1.03,1.03,9666.0,9956.0
308,Spargo,"'KOVA', 'hREDS'",433,11725,380,1.05,1.03,7599.0,7979.0
309,RCF,"'Sharks', 'Yeah', 'High Coast'",644,16879,549,1.05,1.03,10979.0,11528.0
310,kressy,"'ALTERNATE aTTaX', 'Sprout', 'EURONICS'",1102,29508,1165,1.06,1.03,19416.0,20581.0
311,Patitek,"'Izako Boars', 'x-kom', 'VenatoreS'",377,9918,178,1.03,1.03,5933.0,6111.0
312,shuadapai,"'5POWER', 'Eclipse'",549,14214,492,1.05,1.03,9839.0,10331.0
313,aizy,"'North', 'Dignitas', 'FaZe'",1564,41206,1170,1.04,1.03,29249.0,30419.0
314,FrostMisty,"'Recca', 'nxl'",376,9498,411,1.07,1.03,5871.0,6282.0
315,Forester,"'Entropiq', 'DreamEaters', 'Hard Legion'",1171,31096,1067,1.05,1.03,21339.0,22406.0
316,fl0m,'Mythic',657,17320,639,1.06,1.03,10649.0,11288.0
317,RIKO,"'Monstars', 'Denial'",406,10568,155,1.02,1.03,7749.0,7904.0
318,dennis,"'Apeks', 'fnatic', 'NIP', 'GamerLegion'",1575,41834,1140,1.04,1.03,28499.0,29639.0
319,food,"'eUnited', 'Singularity', 'Freedom 35'",456,11711,380,1.05,1.03,7599.0,7979.0
320,flamie,'Natus Vincere',1605,42377,1400,1.05,1.03,27999.0,29399.0
321,cxzi,"'Triumph', 'Strife'",425,11022,102,1.01,1.02,10199.0,10301.0
322,pashaBiceps,"'Virtus.pro', 'ESC'",1592,41228,1019,1.04,1.02,25474.0,26493.0
323,Krad,"'Entropiq', 'DreamEaters', 'Hard Legion'",1139,30276,722,1.04,1.02,18049.0,18771.0
324,hoody,'HAVU',575,15453,402,1.04,1.02,10049.0,10451.0
325,FaNg,'Extra Salt',634,16523,536,1.05,1.02,10719.0,11255.0
326,Maluk3,'TeamOne',1032,26770,1161,1.07,1.02,16585.0,17746.0
327,CyberFocus,"'Nemiga', 'K29', 'Rebels', 'Empire'",491,12779,320,1.04,1.02,7999.0,8319.0
328,kai,"'Bravos', 'C4', 'RED Canids'",483,12692,415,1.05,1.02,8299.0,8714.0
329,sLowi,'HAVU',1121,30114,834,1.04,1.02,20849.0,21683.0
330,smiley,"'Unique', '100PG', 'Se7en'",478,12883,631,1.08,1.02,7887.0,8518.0
331,HexT,"'Carpe Diem', 'RBG'",471,12509,322,1.04,1.02,8049.0,8371.0
332,niko,"'OG', 'Heroic', 'OpTic'",1211,32024,1078,1.05,1.02,21559.0,22637.0
333,AMANEK,"'G2', 'LDLC', 'Misfits'",1030,27668,1199,1.07,1.02,17128.0,18327.0
334,dragonfly,'Fragsters',507,13234,502,1.06,1.02,8366.0,8868.0
335,szejn,"'MOUZ NXT', 'Izako Boars'",505,13478,275,1.03,1.02,9166.0,9441.0
336,kolor,"'GameAgents', 'Budapest Five', 'EURONICS'",552,14434,304,1.03,1.02,10133.0,10437.0
337,JDC,"'MOUZ NXT', 'expert', 'Unicorns of Love', 'PANTHERS'",471,12350,324,1.04,1.02,8099.0,8423.0
338,HS,"'Nordavind', 'PENTA'",1062,28402,427,1.02,1.02,21349.0,21776.0
339,NBK-,"'Envy', 'G2', 'Vitality', 'OG', 'VeryGames'",2050,53613,1331,1.04,1.02,33274.0,34605.0
340,jdm64,"'Liquid', 'CLG', 'Envy'",823,21321,825,1.06,1.02,13749.0,14574.0
341,Tuurtle,"'MIBR', 'DETONA', 'Bravos', 'C4'",715,18803,478,1.04,1.02,11949.0,12427.0
342,DeStiNy,"'Luminosity', 'Paquetá', 'INTZ', 'Wild'",1051,27310,464,1.02,1.02,23199.0,23663.0
343,bondik,"'HellRaisers', 'FlipSid3', 'Winstrike'",1454,38215,1456,1.06,1.02,24266.0,25722.0
344,MonttY,"'eXtatus', 'eSuba'",522,13451,338,1.04,1.02,8449.0,8787.0
345,FANAT ROCKA,"'Unique', 'Quantum Bellator Fire', 'Space Jam'",465,12150,453,1.06,1.02,7549.0,8002.0
346,disco doplan,"'GODSENT', 'Epsilon', 'Galaxy Racer', 'Red Reserve'",1207,32000,1094,1.05,1.02,21879.0,22973.0
347,Nico,"'Dignitas', 'CPH Wolves', 'Western Wolves'",399,10074,547,1.09,1.02,6077.0,6624.0
348,mouz,"'Kinguin', 'Illuminar'",1698,45118,1739,1.06,1.02,28983.0,30722.0
349,qqGOD,"'Signature', 'Beyond', 'Lucid Dream'",584,15180,280,1.03,1.02,9333.0,9613.0
350,MoeycQ,"'Immunity', 'Chiefs', 'Ground Zero', 'AVANT'",639,16594,410,1.04,1.02,10249.0,10659.0
351,Spongey,"'Bad News Bears', 'Triumph', 'The Quest'",782,20344,1000,1.08,1.02,12499.0,13499.0
352,v1c7oR,"'Windigo', 'E-frag.net', 'Fiend'",1859,48493,1212,1.04,1.02,30299.0,31511.0
353,NENO,"'Binary Dragons', 'Valiance'",651,16863,632,1.06,1.02,10533.0,11165.0
354,Xyp9x,"'Astralis', 'TSM'",1941,50562,2323,1.07,1.02,33185.0,35508.0
355,b0denmaster,"'ATK', 'Lilmix'",503,13448,423,1.05,1.02,8459.0,8882.0
356,spaze,"'PiTER', 'Gambit', 'EPG'",538,14117,89,1.01,1.02,8899.0,8988.0
357,apEX,"'Vitality', 'Envy', 'G2', 'Titan'",1968,51619,693,1.02,1.02,34649.0,35342.0
358,Plopski,"'NIP', 'x6tence Galaxy', 'Singularity'",1004,26595,849,1.05,1.02,16979.0,17828.0
359,mar,"'FATE', 'Finest'",724,19174,441,1.03,1.02,14699.0,15140.0
360,Ace,"'Rise Nation', 'eUnited'",456,11866,570,1.08,1.02,7124.0,7694.0
361,Markoś,"'AVEZ', 'Wisla Krakow'",666,17918,799,1.07,1.02,11414.0,12213.0
362,dimasick,"'AVANGAR', 'pro100'",585,15322,447,1.04,1.02,11174.0,11621.0
363,yel,"'Luminosity', 'INTZ', 'MIBR'",927,23986,1043,1.07,1.02,14899.0,15942.0
364,iDk,"'TeamOne', 'Paquetá', 'Yeah'",840,21908,539,1.04,1.02,13474.0,14013.0
365,Goofy,"'Wisla Krakow', 'PACT', 'x-kom'",1110,30021,333,1.02,1.02,16649.0,16982.0
366,queztone,'eXtatus',709,18569,235,1.02,1.02,11749.0,11984.0
367,ROBO,'Nemiga',667,17746,628,1.05,1.02,12559.0,13187.0
368,steel,"'Chaos', 'Ghost', 'Torqued'",617,16290,261,1.02,1.02,13049.0,13310.0
369,TENZKI,"'Nordavind', 'Dignitas'",1494,39305,1336,1.05,1.02,26719.0,28055.0
370,fr0slev,"'AGF', 'Fragsters'",611,15973,470,1.04,1.02,11749.0,12219.0
371,LETN1,"'Valiance', 'Binary Dragons', 'iNation', 'CR4ZY'",1111,28880,1164,1.06,1.02,19399.0,20563.0
372,fox,"'Giants', 'k1ck', 'Kinguin', 'OFFSET'",1057,27606,523,1.03,1.02,17433.0,17956.0
373,n0thing,"'Cloud9', 'Complexity'",813,21021,484,1.03,1.02,16133.0,16617.0
374,SKYTTEN,"'Orbit', 'LGB'",382,10157,328,1.05,1.02,6559.0,6887.0
375,roseau,"'Recca', 'nxl'",412,10376,119,1.02,1.02,5949.0,6068.0
376,roca,"'Splyce', 'Echo Fox', 'Complexity', 'ELEVATE'",660,17324,195,1.02,1.02,9749.0,9944.0
377,flickz,"'Chiefs', 'Athletico', 'Dark Sided'",461,11606,357,1.05,1.02,7139.0,7496.0
378,es3tag,"'Heroic', 'Tricked'",1302,34110,807,1.04,1.01,20174.0,20981.0
379,xCeeD,"'The Quest', 'Triumph', 'SoaR'",438,11341,167,1.02,1.01,8349.0,8516.0
380,chrisJ,'MOUZ',1727,45400,1085,1.04,1.01,27124.0,28209.0
381,aproto,"'CLG Academy', 'Vision', 'BlackOut'",383,10053,85,1.01,1.01,8499.0,8584.0
382,Nodios,"'Copenhagen Flames', 'x6tence'",718,19257,529,1.04,1.01,13224.0,13753.0
383,Jyo,'Nemiga',1165,31131,985,1.05,1.01,19699.0,20684.0
384,bedonka,"'Paradox', 'SYF'",379,9815,123,1.02,1.01,6149.0,6272.0
385,Zyphon,'Copenhagen Flames',415,10947,300,1.04,1.01,7499.0,7799.0
386,Voltage,"'The Quest', 'Triumph', 'SoaR', 'Dignitas'",420,10848,509,1.08,1.01,6362.0,6871.0
387,delboNi,"'Imperial', 'Case', 'Yeah'",519,13450,318,1.04,1.01,7949.0,8267.0
388,Kylar,"'AVEZ', 'Anonymo'",577,15557,315,1.03,1.01,10499.0,10814.0
389,byali,"'Virtus.pro', 'AVEZ'",1841,48359,1333,1.04,1.01,33324.0,34657.0
390,tatazin,"'paiN', 'Wild', 'Yeah', 'BigGods'",762,19976,995,1.08,1.01,12437.0,13432.0
391,GruBy,"'AGO', 'AGG'",1644,43738,753,1.03,1.01,25099.0,25852.0
392,desi,"'Winterfox', 'Complexity', 'SKDC'",430,10986,99,1.01,1.01,9899.0,9998.0
393,shokz,"'Finest', 'Movistar Riders'",610,16254,339,1.03,1.01,11299.0,11638.0
394,b0RUP,"'Tricked', 'Heroic', 'MAD Lions'",1405,37152,465,1.02,1.01,23249.0,23714.0
