,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
602,ELUSIVE,'Bravado',397,10059,56,1.01,0.97,5599.0,5655.0
603,ice,"'Unique', '100PG'",430,11515,-241,0.97,0.97,8033.0,7792.0
604,SOKER,"'Movistar Riders', 'x6tence', 'k1ck'",642,16858,-424,0.96,0.97,10599.0,10175.0
605,Drea3er,"'New4', 'FIVE', 'BTRG'",406,10435,-307,0.96,0.97,7674.0,7367.0
606,PKL,"'paiN', 'Luminosity', 'Wild'",1124,29388,-394,0.98,0.97,19699.0,19305.0
607,DEVIL,"'LDLC', 'Envy', 'LDLC White', '3DMAX'",636,16582,-291,0.97,0.97,9699.0,9408.0
608,seized,'Natus Vincere',1507,39658,-592,0.98,0.97,29599.0,29007.0
609,MAIROLLS,"'Alpha Red', 'Beyond', 'NSPR'",495,12791,-213,0.98,0.97,10649.0,10436.0
610,gabesson,"'GameAgents', 'volgare'",441,11654,-264,0.97,0.97,8799.0,8535.0
611,Sapec,'Young Ninjas',428,11466,-362,0.96,0.97,9049.0,8687.0
612,Mayker,"'Genuine', 'Chiefs', 'Surge'",433,11216,-220,0.97,0.97,7333.0,7113.0
613,TMB,"'MAD Lions', 'AGF', 'Copenhagen Flames'",685,18224,-407,0.97,0.97,13566.0,13159.0
614,The eLiVe,"'Enterprise', 'Universe'",470,12703,-181,0.98,0.97,9049.0,8868.0
615,KHRN,"'SJ', 'HAVU'",935,24443,-245,0.98,0.97,12249.0,12004.0
616,Leaf,"'Lucid Dream', 'Maple', 'Signature'",398,10120,-71,0.99,0.97,7099.0,7028.0
617,starix,"'Natus Vincere', 'Spirit'",625,16451,-241,0.98,0.97,12049.0,11808.0
618,chopper,"'Spirit', 'Vega Squadron'",1089,28848,-394,0.98,0.97,19699.0,19305.0
619,reltuC,'CLG',865,22664,-74,1.0,0.97,,
620,Surreal,"'Endpoint', 'Epsilon', 'Complexity'",1507,39489,-721,0.97,0.97,24033.0,23312.0
621,phr,"'Illuminar', 'AGO', 'Virtus.pro'",1291,34592,-403,0.98,0.96,20149.0,19746.0
622,Hyper,"'AGG', 'Vexed', 'Kinguin', 'Izako Boars'",646,16949,-167,0.99,0.96,16699.0,16532.0
623,LUCAS1,"'Immortals', 'Luminosity', 'MIBR', 'Tempo Storm'",943,24480,-481,0.97,0.96,16033.0,15552.0
624,Maniac,"'LDLC', 'Titan'",837,22049,-388,0.97,0.96,12933.0,12545.0
625,SmithZz,"'G2', 'Titan', 'VeryGames', 'Envy', 'LDLC'",1161,30130,-543,0.97,0.96,18099.0,17556.0
626,nafany,"'Gambit Youngsters', 'Gambit'",854,22679,-670,0.96,0.96,16749.0,16079.0
627,ProbLeM,"'HellRaisers', 'bankaPEPSI'",547,14838,-268,0.97,0.96,8933.0,8665.0
628,kaper,"'AGO', 'Kinguin', 'Wisla Krakow', 'adwokacik'",536,14240,-168,0.98,0.96,8399.0,8231.0
629,Walco,"'Carpe Diem', 'RBG'",474,12594,-411,0.95,0.96,8219.0,7808.0
630,SEMINTE,"'Nexus', 'XPC'",663,17364,-441,0.96,0.96,11024.0,10583.0
631,SADDYX,'SJ',647,17350,-363,0.97,0.96,12099.0,11736.0
632,maeVe,"'Tricked', 'Escape', 'Reason'",487,12606,-131,0.98,0.96,6549.0,6418.0
633,Kairi,"'x6tence', 'PENTA'",404,10297,-204,0.97,0.96,6799.0,6595.0
634,Tommy,'BOOT-d[S]',387,9900,-323,0.95,0.96,6459.0,6136.0
635,HOLMES,"'Squared', 'BLUEJAYS'",430,11258,-314,0.96,0.96,7849.0,7535.0
636,stanislaw,"'Evil Geniuses', 'OpTic', 'Complexity', 'Liquid'",1314,33991,-487,0.98,0.96,24349.0,23862.0
637,w1nt3r,"'Unique', '100PG', 'Se7en', 'BOOT-d[S]'",552,14753,-167,0.98,0.96,8349.0,8182.0
638,Aleksib,"'OG', 'ENCE', 'HAVU'",1010,26800,-328,0.98,0.96,16399.0,16071.0
639,bodito,"'Budapest Five', 'Salamander', 'Pixel', 'Sensei'",427,11471,-404,0.95,0.96,8079.0,7675.0
640,nosraC,"'Gaimin Gladiators', 'Rebirth', 'ChocoCheck', 'Recon 5'",461,12164,-372,0.96,0.96,9299.0,8927.0
641,xms,"'Envy', 'Heretics', 'LDLC'",712,18783,-624,0.95,0.96,12479.0,11855.0
642,0i,"'Invictus', 'New4', 'FIVE', 'After'",484,12676,-383,0.96,0.96,9574.0,9191.0
643,JazzPimp,"'Gaimin Gladiators', 'Recon 5', 'ChocoCheck'",407,10648,-315,0.96,0.96,7874.0,7559.0
644,Uber,"'Enemy', 'Complexity', 'Selfless'",398,10027,-299,0.96,0.96,7474.0,7175.0
645,tiziaN,"'BIG', 'ALTERNATE aTTaX'",1729,45729,-797,0.97,0.96,26566.0,25769.0
646,misutaaa,'Vitality',423,11199,-336,0.95,0.96,6719.0,6383.0
647,glow,'MVP PK',395,10045,-99,0.98,0.96,4949.0,4850.0
648,Kvik,"'Quantum Bellator Fire', 'Winstrike'",780,20389,-667,0.95,0.96,13339.0,12672.0
649,Kristou,"'AGF', 'North'",390,10304,-326,0.95,0.96,6519.0,6193.0
650,Snappi,"'ENCE', 'Heroic', 'OpTic'",1561,41172,-845,0.97,0.96,28166.0,27321.0
651,expro,"'Lynn Vision', 'Invictus', 'EHOME'",424,11240,-286,0.96,0.96,7149.0,6863.0
652,MAJ3R,"'Space Soldiers', 'Sangal'",1050,27515,-524,0.97,0.96,17466.0,16942.0
653,nbl,'Isurus',588,15168,-503,0.95,0.96,10059.0,9556.0
654,LOGAN,"'LDLC', 'Heretics'",590,15692,-300,0.97,0.96,9999.0,9699.0
655,smF,"'CPH Wolves', 'Secret', 'LPSP'",817,21404,-376,0.97,0.96,12533.0,12157.0
656,YJ,'W7M',514,13425,-71,0.99,0.96,7099.0,7028.0
657,kinqie,"'DreamEaters', 'Hard Legion'",631,16775,-597,0.95,0.96,11939.0,11342.0
658,tahsiN,"'Berzerk', 'PENTA', 'KILLERFISH'",591,15363,-630,0.94,0.96,10499.0,9869.0
659,maNkz,"'ECSTATIC', 'Lyngby Vikings', 'Copenhagen Flames', 'x6tence'",656,17640,-489,0.96,0.96,12224.0,11735.0
660,NEO,"'HONORIS', 'Virtus.pro'",2026,52885,-1524,0.96,0.96,38099.0,36575.0
661,ponczek,'Wisla Krakow',499,13450,-245,0.97,0.95,8166.0,7921.0
662,denis,"'Sprout', 'MOUZ'",1830,48692,-1848,0.95,0.95,36959.0,35111.0
663,alexRr,"'expert', 'Planetkey', 'DIVIZON'",433,11346,-554,0.93,0.95,7914.0,7360.0
664,dezon,"'Savage', 'Galaxy Racer', 'Japaleno'",547,14700,-248,0.97,0.95,8266.0,8018.0
665,dumz,"'DenDD', 'Singularity', 'Manatee'",455,12074,-320,0.96,0.95,7999.0,7679.0
666,RZU,"'Triumph', 'Bad News Bears', 'Rugratz'",443,11610,-499,0.94,0.95,8316.0,7817.0
667,friberg,"'Dignitas', 'NIP', 'Heroic'",1957,50987,-1696,0.95,0.95,33919.0,32223.0
668,caike,"'g3x', 'Yeah', 'Isurus', 'TeamOne'",501,13104,-374,0.96,0.95,9349.0,8975.0
669,H4RR3,"'777', 'Nordavind'",640,17259,-709,0.94,0.95,11816.0,11107.0
670,JT,"'Extra Salt', 'Bravado', 'ATK', 'Cloud9'",1044,27089,-833,0.95,0.95,16659.0,15826.0
671,TaZ,"'HONORIS', 'Virtus.pro', 'Kinguin'",2157,56623,-1492,0.96,0.95,37299.0,35807.0
672,steel,"'Movistar Riders', 'Luminosity', 'Immortals'",1447,37826,-869,0.97,0.95,28966.0,28097.0
673,devoduvek,"'LDLC', 'Misfits', 'Heretics'",643,17057,-588,0.95,0.95,11759.0,11171.0
674,Console,"'Tricked', 'ALTERNATE aTTaX', 'Copenhagen Flames', 'Singularity'",708,18612,-582,0.95,0.95,11639.0,11057.0
675,CONNOR93,"'Ghost', ""Bee's Money Crew"", 'BlackOut', 'The Pioneers'",449,11544,-457,0.94,0.95,7616.0,7159.0
676,soju_j,"'Legacy', 'AVANT', 'Chiefs', 'Dire Wolves'",554,14231,-410,0.96,0.95,10249.0,9839.0
677,PR1mE,'Tricked',396,10694,-396,0.95,0.95,7919.0,7523.0
678,dERZKIY,"'K29', 'ANOX'",414,10809,-400,0.95,0.95,7999.0,7599.0
679,darko,'PACT',799,21686,-801,0.95,0.95,16019.0,15218.0
680,KrizzeN,"'AVANGAR', 'Winstrike'",763,20020,-368,0.97,0.95,12266.0,11898.0
681,Grusarn,"'777', 'Apeks'",543,14836,-779,0.93,0.95,11128.0,10349.0
682,AcilioN,"'Apeks', 'Copenhagen Flames', 'SK'",1728,45574,-1467,0.95,0.95,29339.0,27872.0
683,RAiLWAY,"'INDE IRAE', 'Espada'",445,11946,-653,0.93,0.95,9328.0,8675.0
684,beastik,'SINNERS',665,17860,-649,0.95,0.95,12979.0,12330.0
685,flashie,"'GameAgents', 'Orgless'",585,15493,-522,0.95,0.95,10439.0,9917.0
686,strux1,"'PENTA', '3DMAX', 'Planetkey'",403,10276,-246,0.96,0.95,6149.0,5903.0
687,ecfN,'ALTERNATE aTTaX',426,11214,-471,0.94,0.95,7849.0,7378.0
688,oxygeN,'SKADE',507,13623,-446,0.95,0.95,8919.0,8473.0
689,Karsa,"'Flash', 'OneThree', 'EHOME'",457,11674,-290,0.96,0.95,7249.0,6959.0
690,arvid,'SJ',892,23926,-1030,0.94,0.95,17166.0,16136.0
691,Inzta,"'Tricked', 'Singularity'",754,19798,-849,0.94,0.94,14149.0,13300.0
692,Rock1nG,"'SKADE', 'Outlaws', 'Bpro'",883,23271,-1025,0.94,0.94,17083.0,16058.0
693,uNdo,"'Unique', 'Quantum Bellator Fire', 'Space Jam'",432,11267,-371,0.95,0.94,7419.0,7048.0
694,vSa,"'Rise Nation', 'Vision', 'Ghost'",385,10066,-322,0.95,0.94,6439.0,6117.0
695,Fifflaren,'NIP',538,13220,-40,0.99,0.94,3999.0,3959.0
696,boX,"'Nemiga', 'GoodJob'",1248,33224,-1306,0.94,0.94,21766.0,20460.0
697,kzy,"'EURONICS', 'ALTERNATE aTTaX', 'Unicorns of Love'",986,25705,-845,0.95,0.94,16899.0,16054.0
698,TOAO,"'AGO', 'Izako Boars'",1106,29520,-1061,0.95,0.94,21219.0,20158.0
699,SileNt,"'Swole Patrol', 'Method', 'NRG'",624,16235,-788,0.93,0.94,11257.0,10469.0
700,Twixie,"'KOVA', 'HAVU'",745,20248,-747,0.95,0.94,14939.0,14192.0
701,tonyblack,'Spirit',826,21699,-725,0.95,0.94,14499.0,13774.0
702,BRACE,'VERTEX',393,10219,-437,0.94,0.94,7283.0,6846.0
703,rafftu,"'SKADE', 'Bpro', 'FATE'",491,13172,-517,0.94,0.94,8616.0,8099.0
704,arch,"'Preparation', 'Spirit', 'Worst Players'",593,15530,-658,0.94,0.94,10966.0,10308.0
705,Sidney,"'UNGENTIUM', 'AGO', 'PACT', 'Illuminar'",443,11990,-395,0.95,0.94,7899.0,7504.0
706,interz,"'Gambit Youngsters', 'Gambit'",836,22227,-175,0.99,0.94,17499.0,17324.0
707,EXUS,"'PRIDE', 'Izako Boars'",882,23538,-1079,0.93,0.94,15414.0,14335.0
708,RIZZZ,"'OFFSET', 'Giants'",422,11051,-552,0.93,0.94,7885.0,7333.0
709,LOMME,"'North Academy', 'Tricked', 'No Problem!'",623,16172,-532,0.95,0.94,10639.0,10107.0
710,Polly,"'LGB', 'London Conspiracy', 'Apeks'",451,11723,-545,0.93,0.94,7785.0,7240.0
711,Ex6TenZ,"'Titan', 'LDLC', 'VeryGames', 'G2'",1393,36352,-1064,0.96,0.94,26599.0,25535.0
712,ub1que,"'EPG', 'PiTER', 'Preparation'",491,12691,-496,0.94,0.94,8266.0,7770.0
713,Noisia,"'AVANT', 'Breakaway', 'Dark Sided'",579,15033,-616,0.94,0.94,10266.0,9650.0
714,tutehen,"'VELOX', 'Isurus', 'Gale Force', 'Miami Flamingos'",447,11563,-394,0.95,0.94,7879.0,7485.0
715,ngiN,"'Space Soldiers', 'Sangal'",1025,26895,-748,0.96,0.94,18699.0,17951.0
716,forget,"'5POWER', 'UYA'",442,11512,-734,0.91,0.94,8155.0,7421.0
717,Shakezullah,"'Bad News Bears', 'Triumph', 'Singularity', 'iNTACT'",797,20767,-500,0.96,0.94,12499.0,11999.0
718,neaLaN,"'K23', 'Syman'",1047,27900,-1277,0.93,0.94,18242.0,16965.0
719,repo,"'PRIDE', 'ESC', 'AGG', 'Vexed'",505,13254,-657,0.93,0.94,9385.0,8728.0
720,DANZ,"'Kanga', 'Corvidae', 'AVANT'",391,10173,-620,0.92,0.93,7750.0,7130.0
721,emi,"'Valiance', 'Binary Dragons', 'iNation'",1067,27762,-1223,0.94,0.93,20383.0,19160.0
722,Duplicate,"'SKADE', 'FATE'",804,21453,-1029,0.93,0.93,14700.0,13671.0
723,hutji,'Vega Squadron',453,12010,-664,0.92,0.93,8300.0,7636.0
724,crisby,"'ALTERNATE aTTaX', 'EURONICS', 'Unicorns of Love'",1209,31542,-1813,0.92,0.93,22662.0,20849.0
725,matty,"'EC Brugge', 'Izako Boars'",536,14203,-696,0.93,0.93,9942.0,9246.0
726,mynio,"'Wisla Krakow', 'Anonymo'",768,20598,-1225,0.92,0.93,15312.0,14087.0
727,SkulL,"'Genuine', 'Taboo', 'Masterminds', 'Chiefs'",596,15590,-1057,0.91,0.93,11744.0,10687.0
728,quix,"'Lilmix', 'Vexed', 'Publiclir.se'",930,24640,-1792,0.9,0.93,17920.0,16128.0
729,ztr,"'Young Ninjas', 'NIP'",381,10224,-571,0.92,0.93,7137.0,6566.0
730,kiR,'Tricked',558,15039,-957,0.91,0.93,10633.0,9676.0
731,TACO,"'GODSENT', 'SK', 'MIBR', 'Liquid', 'Luminosity'",1384,35965,-1346,0.94,0.93,22433.0,21087.0
732,aVN,"'4glory', 'lvlUP', 'BLUEJAYS', 'Juggernauts'",550,14647,-696,0.93,0.92,9942.0,9246.0
733,S0tF1k,"'Spirit', 'Espada'",1289,33952,-1903,0.92,0.92,23787.0,21884.0
734,hitMouse,"'Nemiga', 'K29'",538,14028,-625,0.93,0.92,8928.0,8303.0
735,arki,'SAW',865,22719,-1188,0.92,0.92,14850.0,13662.0
736,Xp3,"'Winterfox', 'Denial', 'ELEVATE'",502,13113,-792,0.91,0.92,8800.0,8008.0
737,sorrow,"'Unique', '100PG'",382,10245,-659,0.91,0.92,7322.0,6663.0
738,pNshr,"'Windigo', 'ex-Outlaws'",595,15532,-809,0.92,0.92,10112.0,9303.0
739,MSL,"'Dignitas', 'North'",1716,44836,-3251,0.9,0.92,32510.0,29259.0
740,SANJI,"'Virtus.pro', 'AVANGAR', 'Syman'",743,19879,-998,0.92,0.92,12475.0,11477.0
741,akez,"'777', 'Apeks'",471,12758,-882,0.9,0.92,8820.0,7938.0
742,ncl,"'TheMongolz', 'TIGER', 'Mazaalai'",516,13234,-617,0.93,0.92,8814.0,8197.0
743,Luz,"'PRIDE', 'Izako Boars'",650,17062,-971,0.92,0.92,12137.0,11166.0
744,Zeus,'Natus Vincere',1405,37152,-1990,0.92,0.92,24875.0,22885.0
745,nak,"'Sharks', 'RED Canids'",514,13305,-671,0.92,0.92,8387.0,7716.0
746,arya,"'Splyce', '3sUP'",440,11291,-868,0.89,0.92,7890.0,7022.0
747,Dav,"'Squared', 'ONYX'",439,11340,-752,0.9,0.92,7520.0,6768.0
748,karrigan,"'FaZe', 'MOUZ', 'TSM'",1985,52027,-3477,0.9,0.91,34770.0,31293.0
749,pietola,'KOVA',383,10178,-592,0.91,0.91,6577.0,5985.0
750,svyat,"'Hard Legion', 'DreamEaters', 'AVE'",734,19717,-1060,0.92,0.91,13250.0,12190.0
751,BTN,'Nexus',1053,27584,-2026,0.9,0.91,20260.0,18234.0
752,xartE,"'SJ', 'HAVU', 'ENCE', 'hREDS'",1151,30254,-1635,0.92,0.91,20437.0,18802.0
753,tecek,"'Izako Boars', 'x-kom', 'VenatoreS'",376,9987,-838,0.88,0.91,6983.0,6145.0
754,LEGIJA,"'BIG', 'MOUZ', 'NRG'",869,22614,-1671,0.9,0.91,16710.0,15039.0
755,roman,"'Nemiga', 'K29'",414,10880,-664,0.91,0.91,7377.0,6713.0
756,Shara,"""spray'n'pray"", 'FlipSid3'",383,9929,-742,0.9,0.91,7420.0,6678.0
757,wayLander,"'FlipSid3', 'pro100', 'Winstrike'",794,20857,-1715,0.89,0.91,15590.0,13875.0
758,BONA,"'SJ', 'VITALIS', 'hREDS'",476,12674,-943,0.89,0.91,8572.0,7629.0
759,sAw,"'HAVU', 'iGame.com', 'RCTIC'",1267,33681,-2108,0.91,0.9,23422.0,21314.0
760,kRYSTAL,"'PENTA', 'ALTERNATE aTTaX', 'GODSENT'",1858,48588,-3407,0.9,0.9,34070.0,30663.0
761,MiGHTYMAX,'Endpoint',1163,30802,-2009,0.9,0.9,20090.0,18081.0
762,ben1337,"'Party Astronauts', 'New England Whalers', 'High Coast'",923,24088,-1761,0.89,0.9,16009.0,14248.0
763,crush,"'pro100', 'Vega Squadron', 'HellRaisers'",729,19205,-1467,0.89,0.9,13336.0,11869.0
764,balblna,"'Quantum Bellator Fire', 'Winstrike'",611,16017,-1233,0.89,0.9,11209.0,9976.0
765,sycrone,"'Sprout', 'North Academy', 'Tricked', 'Team123'",553,14608,-978,0.9,0.9,9780.0,8802.0
766,nkl,"'E-frag.net', 'GPlay', 'MK', 'Orbit'",642,16554,-1046,0.91,0.9,11622.0,10576.0
767,hooch,"'EPG', 'Gambit'",894,23450,-1802,0.89,0.9,16381.0,14579.0
768,Golden,"'fnatic', 'fnatic Academy', 'Cloud9'",872,23212,-2006,0.88,0.9,16716.0,14710.0
769,lunAtic,'PACT',884,24035,-1729,0.89,0.9,15718.0,13989.0
770,Adam9130,"'Into the Breach', 'GamerLegion', 'Vexed'",436,11743,-1077,0.87,0.9,8284.0,7207.0
771,FNS,"'CLG', 'TSM'",953,25080,-1794,0.89,0.89,16309.0,14515.0
772,spiker,"'Monolith', 'PiTER', 'Empire', 'Rebels'",415,10974,-974,0.88,0.89,8116.0,7142.0
773,JiNKZ,"'3DMAX', 'Heretics'",542,14411,-1193,0.88,0.89,9941.0,8748.0
774,MAiNLiNE,"'Enemy', 'Selfless', 'eUnited', 'Method'",437,11092,-1064,0.87,0.89,8184.0,7120.0
775,Psycho,"'Run or Die', 'Project X', 'CR4ZY', 'Akuma', 'Windigo Academy'",500,13349,-1069,0.88,0.89,8908.0,7839.0
776,pronax,"'fnatic', 'GODSENT'",1199,31403,-2267,0.89,0.89,20609.0,18342.0
777,Polen,'Mythic',435,11470,-978,0.88,0.89,8150.0,7172.0
778,ScrunK,"'ALTERNATE aTTaX', 'expert', 'EURONICS'",905,24046,-2454,0.86,0.88,17528.0,15074.0
779,Lambert,"'LDLC', 'EnVyUs Academy'",775,20411,-1581,0.88,0.88,13175.0,11594.0
780,LeX,"'Mythic', 'Winterfox', 'Luminosity'",463,11937,-1263,0.85,0.88,8419.0,7156.0
781,torben,'Fragsters',532,13939,-1196,0.87,0.88,9200.0,8004.0
782,JD,"'madlikewizards', 'Athletico', 'TRUCKERS WITH ATTITUDE', 'Airborne', 'Noxide'",374,9620,-1105,0.85,0.88,7366.0,6261.0
783,seang@res,"'Cloud9', 'Misfits', 'Echo Fox'",713,18391,-1629,0.87,0.88,12530.0,10901.0
784,daps,"'NRG', 'OpTic', 'Gen.G'",1075,28101,-2364,0.87,0.88,18184.0,15820.0
785,advent,"'ViCi', 'VG.CyberZen'",1072,27530,-2044,0.88,0.87,17033.0,14989.0
786,flowsicK,"'Denial', 'Winterfox', 'Liquid'",395,10074,-1047,0.86,0.87,7478.0,6431.0
787,BERRY,"'Ambush', 'OPAA'",801,20959,-2342,0.85,0.87,15613.0,13271.0
788,birdfromsky,"'ECSTATIC', 'Lyngby Vikings'",774,20813,-2024,0.86,0.87,14457.0,12433.0
789,nawrot,"'AVEZ', 'Izako Boars'",603,16182,-1737,0.85,0.87,11579.0,9842.0
790,HooXi,'Copenhagen Flames',798,21225,-2206,0.85,0.87,14706.0,12500.0
791,def,"'pro100', 'ACG'",605,15797,-1593,0.85,0.86,10619.0,9026.0
792,djL,"'Chaos', 'Japaleno', 'Red Reserve'",688,18180,-1735,0.86,0.86,12392.0,10657.0
793,Devilwalk,"'fnatic', 'Epsilon'",400,10494,-1101,0.85,0.86,7339.0,6238.0
794,Twista,"'RCTIC', 'iGame.com', 'LGR'",380,9970,-1149,0.84,0.85,7181.0,6032.0
795,gob b,"'BIG', 'MOUZ', 'NRG'",975,25707,-2811,0.84,0.85,17568.0,14757.0
796,Slemmy,"'Complexity', 'Cloud9', 'Selfless'",445,11663,-1313,0.83,0.85,7723.0,6410.0
797,SolEk,"'ALTERNATE aTTaX', 'Berzerk'",377,9498,-1285,0.81,0.84,6763.0,5478.0
798,PASHANOJ,"'Unique', 'ex-ETHEREAL'",599,15675,-2251,0.8,0.84,11255.0,9004.0
799,B1ad3,'FlipSid3',899,23232,-3408,0.8,0.83,17040.0,13632.0
800,netrick,"'AGF', 'unknown', 'LPSP', 'Forcebuy'",455,11976,-1736,0.8,0.82,8680.0,6944.0
801,HUNDEN,"'Tricked', 'ALTERNATE aTTaX'",1578,41153,-6238,0.78,0.81,28354.0,22116.0
802,RuFire,"'SG.pro', '5balls', 'VP.Prodigy'",384,10185,-1927,0.74,0.78,7411.0,5484.0
803,OCEAN,"'subtLe', 'SKDC', 'Splyce'",410,10602,-1962,0.74,0.77,7546.0,5584.0
